outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
1.BYG.CE1.CR1 Analizar conceptos y procesos biológicos, geológicos y medioambientales, interpretando información en diferentes formatos (modelos, gráficos, tablas, diagramas, fórmulas, esquemas, símbolos, páginas web, etc.),;1.BYG.CE1.CR1;1.BYG.CE1.CR1 Analizar conceptos y procesos biológicos, geológicos y medioambientales, interpretando información en diferentes formatos (modelos, gráficos, tablas, diagramas, fórmulas, esquemas, símbolos, páginas web, etc.), manteniendo una actitud crítica y obteniendo conclusiones fundamentadas.;Nivel de logro;NI,EP,C,R,E;
1.BYG.CE1.CR2 Facilitar la comprensión y análisis de información sobre procesos biológicos y geológicos o trabajos científicos transmitiéndola de forma clara y utilizando la terminología y los formatos adecuados (modelos, gr;1.BYG.CE1.CR2;1.BYG.CE1.CR2 Facilitar la comprensión y análisis de información sobre procesos biológicos y geológicos o trabajos científicos transmitiéndola de forma clara y utilizando la terminología y los formatos adecuados (modelos, gráficos, tablas, vídeos, informes, diagramas, fórmulas, esquemas, símbolos, contenidos digitales, etc.).;Nivel de logro;NI,EP,C,R,E;
1.BYG.CE1.CR3 Analizar y explicar fenómenos biológicos, geológicos y ambientales, representándolos mediante modelos y diagramas, utilizando, cuando sea necesario, los pasos del diseño de ingeniería (identificación del proble;1.BYG.CE1.CR3;1.BYG.CE1.CR3 Analizar y explicar fenómenos biológicos, geológicos y ambientales, representándolos mediante modelos y diagramas, utilizando, cuando sea necesario, los pasos del diseño de ingeniería (identificación del problema, exploración, diseño, creación, evaluación y mejora).;Nivel de logro;NI,EP,C,R,E;
1.BYG.CE2.CR1 Resolver cuestiones sobre Biología y Geología localizando, seleccionando y organizando información de distintas fuentes y citándolas correctamente.;1.BYG.CE2.CR1;1.BYG.CE2.CR1 Resolver cuestiones sobre Biología y Geología localizando, seleccionando y organizando información de distintas fuentes y citándolas correctamente.;Nivel de logro;NI,EP,C,R,E;
1.BYG.CE2.CR2 Reconocer la información sobre temas biológicos y geológicos con base científica, distinguiéndola de pseudociencias, bulos, teorías conspiratorias y creencias infundadas y manteniendo una actitud escéptica ante;1.BYG.CE2.CR2;1.BYG.CE2.CR2 Reconocer la información sobre temas biológicos y geológicos con base científica, distinguiéndola de pseudociencias, bulos, teorías conspiratorias y creencias infundadas y manteniendo una actitud escéptica ante estos.;Nivel de logro;NI,EP,C,R,E;
1.BYG.CE2.CR3 Valorar la contribución de la ciencia a la sociedad y la labor de las personas dedicadas a ella, en especial en Castila-La Mancha, con independencia de su etnia, sexo o cultura, destacando y reconociendo el pap;1.BYG.CE2.CR3;1.BYG.CE2.CR3 Valorar la contribución de la ciencia a la sociedad y la labor de las personas dedicadas a ella, en especial en Castila-La Mancha, con independencia de su etnia, sexo o cultura, destacando y reconociendo el papel de las mujeres científicas y entendiendo la investigación como una labor colectiva e interdisciplinar en constante evolución.;Nivel de logro;NI,EP,C,R,E;
1.BYG.CE3.CR1 Plantear preguntas e hipótesis e intentar realizar predicciones sobre fenómenos biológicos o geológicos que puedan ser respondidas o contrastadas utilizando métodos científicos.;1.BYG.CE3.CR1;1.BYG.CE3.CR1 Plantear preguntas e hipótesis e intentar realizar predicciones sobre fenómenos biológicos o geológicos que puedan ser respondidas o contrastadas utilizando métodos científicos.;Nivel de logro;NI,EP,C,R,E;
1.BYG.CE3.CR2 Diseñar la experimentación, la toma de datos y el análisis de fenómenos biológicos y geológicos de modo que permitan responder a preguntas concretas y contrastar una hipótesis planteada.;1.BYG.CE3.CR2;1.BYG.CE3.CR2 Diseñar la experimentación, la toma de datos y el análisis de fenómenos biológicos y geológicos de modo que permitan responder a preguntas concretas y contrastar una hipótesis planteada.;Nivel de logro;NI,EP,C,R,E;
1.BYG.CE3.CR3 Realizar experimentos y tomar datos cuantitativos o cualitativos sobre fenómenos biológicos y geológicos utilizando los instrumentos, herramientas o técnicas adecuadas con corrección.;1.BYG.CE3.CR3;1.BYG.CE3.CR3 Realizar experimentos y tomar datos cuantitativos o cualitativos sobre fenómenos biológicos y geológicos utilizando los instrumentos, herramientas o técnicas adecuadas con corrección.;Nivel de logro;NI,EP,C,R,E;
1.BYG.CE3.CR4 Interpretar los resultados obtenidos en un proyecto de investigación utilizando, cuando sea necesario, herramientas matemáticas y tecnológicas.;1.BYG.CE3.CR4;1.BYG.CE3.CR4 Interpretar los resultados obtenidos en un proyecto de investigación utilizando, cuando sea necesario, herramientas matemáticas y tecnológicas.;Nivel de logro;NI,EP,C,R,E;
