outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
1.PAP.CE1.CR1 Entender el proceso de creación artística en sus distintas fases y aplicarlo a la producción de proyectos personales y de grupo, comprendiendo la necesidad de secuenciar dichas fases y adaptarlas a la actividad;1.PAP.CE1.CR1;1.PAP.CE1.CR1 Entender el proceso de creación artística en sus distintas fases y aplicarlo a la producción de proyectos personales y de grupo, comprendiendo la necesidad de secuenciar dichas fases y adaptarlas a la actividad.;Nivel de logro;NI,EP,C,R,E;
1.PAP.CE1.CR2 Planear y desarrollar un método de trabajo con una finalidad concreta, mostrando iniciativa en la búsqueda de información y seleccionando la adecuada, junto con los diferentes materiales, instrumentos y recurso;1.PAP.CE1.CR2;1.PAP.CE1.CR2 Planear y desarrollar un método de trabajo con una finalidad concreta, mostrando iniciativa en la búsqueda de información y seleccionando la adecuada, junto con los diferentes materiales, instrumentos y recursos necesarios para su realización.;Nivel de logro;NI,EP,C,R,E;
1.PAP.CE1.CR3 Elaborar, de forma responsable, trabajos en equipo, demostrando una actitud de tolerancia y flexibilidad con todos los compañeros, valorando, además, el trabajo cooperativo como método eficaz para desarrollarlo;1.PAP.CE1.CR3;1.PAP.CE1.CR3 Elaborar, de forma responsable, trabajos en equipo, demostrando una actitud de tolerancia y flexibilidad con todos los compañeros, valorando, además, el trabajo cooperativo como método eficaz para desarrollarlos.;Nivel de logro;NI,EP,C,R,E;
1.PAP.CE2.CR1 Reconocer los principales elementos que configuran los lenguajes visuales, así como la expresividad de los mismos, en obras de arte, utilizando un proceso de análisis de creaciones representativas.;1.PAP.CE2.CR1;1.PAP.CE2.CR1 Reconocer los principales elementos que configuran los lenguajes visuales, así como la expresividad de los mismos, en obras de arte, utilizando un proceso de análisis de creaciones representativas.;Nivel de logro;NI,EP,C,R,E;
1.PAP.CE2.CR2 Interpretar críticamente imágenes y obras artísticas dentro de los contextos en los que se han producido, considerando la repercusión que tienen sobre las personas y las sociedades.;1.PAP.CE2.CR2;1.PAP.CE2.CR2 Interpretar críticamente imágenes y obras artísticas dentro de los contextos en los que se han producido, considerando la repercusión que tienen sobre las personas y las sociedades.;Nivel de logro;NI,EP,C,R,E;
1.PAP.CE3.CR1 Experimentar con diferentes técnicas artísticas y reconocer sus cualidades estéticas y expresivas, usando, no solo materiales y herramientas innovadoras, sino también materiales biodegradables, que respeten la ;1.PAP.CE3.CR1;1.PAP.CE3.CR1 Experimentar con diferentes técnicas artísticas y reconocer sus cualidades estéticas y expresivas, usando, no solo materiales y herramientas innovadoras, sino también materiales biodegradables, que respeten la normativa actual relativa al respeto y preservación del medio ambiente.;Nivel de logro;NI,EP,C,R,E;
1.PAP.CE3.CR2 Elaborar producciones y proyectos artísticos, utilizando diferentes técnicas plásticas y audiovisuales adaptadas a un objetivo concreto.;1.PAP.CE3.CR2;1.PAP.CE3.CR2 Elaborar producciones y proyectos artísticos, utilizando diferentes técnicas plásticas y audiovisuales adaptadas a un objetivo concreto.;Nivel de logro;NI,EP,C,R,E;
1.PAP.CE3.CR3 Seleccionar los materiales y recursos más adecuados, teniendo en cuenta, al aplicarlos en distintos ejercicios creativos, sus valores expresivos y estéticos.;1.PAP.CE3.CR3;1.PAP.CE3.CR3 Seleccionar los materiales y recursos más adecuados, teniendo en cuenta, al aplicarlos en distintos ejercicios creativos, sus valores expresivos y estéticos.;Nivel de logro;NI,EP,C,R,E;
1.PAP.CE4.CR1 Analizar el entorno físico y conceptual de un espacio concreto y desarrollar en él una intervención artística que exprese sus ideas, sentimientos y emociones, prestando atención a sus características y siguiend;1.PAP.CE4.CR1;1.PAP.CE4.CR1 Analizar el entorno físico y conceptual de un espacio concreto y desarrollar en él una intervención artística que exprese sus ideas, sentimientos y emociones, prestando atención a sus características y siguiendo las fases del proceso creativo.;Nivel de logro;NI,EP,C,R,E;
1.PAP.CE4.CR2 Aportar ideas y propuestas creativas en el desarrollo de un proyecto grupal, que modifique o complemente el entorno más cercano, planteando respuestas razonadas y acordes con el medio circundante.;1.PAP.CE4.CR2;1.PAP.CE4.CR2 Aportar ideas y propuestas creativas en el desarrollo de un proyecto grupal, que modifique o complemente el entorno más cercano, planteando respuestas razonadas y acordes con el medio circundante.;Nivel de logro;NI,EP,C,R,E;
1.PAP.CE5.CR1 Reconocer la importancia de la coordinación interdisciplinar en la creación de proyectos de centro, participando en actividades propuestas por los distintos departamentos, de forma flexible y activa, planteando;1.PAP.CE5.CR1;1.PAP.CE5.CR1 Reconocer la importancia de la coordinación interdisciplinar en la creación de proyectos de centro, participando en actividades propuestas por los distintos departamentos, de forma flexible y activa, planteando además propuestas creativas.;Nivel de logro;NI,EP,C,R,E;
1.PAP.CE5.CR2 Colaborar activamente en el planteamiento, desarrollo y exhibición de proyectos de centro, evaluando no solo las propuestas, propias y ajenas, con propiedad y respeto, sino también su idoneidad dentro del proce;1.PAP.CE5.CR2;1.PAP.CE5.CR2 Colaborar activamente en el planteamiento, desarrollo y exhibición de proyectos de centro, evaluando no solo las propuestas, propias y ajenas, con propiedad y respeto, sino también su idoneidad dentro del proceso creativo.;Nivel de logro;NI,EP,C,R,E;
