outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
1.TEF.CE1.CR2 Conocer y valorar la importancia del dinero en la sociedad y en la vida de cada persona, identificando los distintos intermediarios financieros y sus principales servicios, razonando su utilidad y generando una;1.TEF.CE1.CR2;1.TEF.CE1.CR2 Conocer y valorar la importancia del dinero en la sociedad y en la vida de cada persona, identificando los distintos intermediarios financieros y sus principales servicios, razonando su utilidad y generando una actitud crítica, siendo conscientes del problema de la información asimétrica.;Nivel de logro;NI,EP,C,R,E;
1.TEF.CE1.CR3 Valorar el impacto de la planificación y la importancia del ahorro, sabiendo elaborar y gestionar, de forma adecuada, un presupuesto de ingresos y gastos personales a corto, medio y largo plazo.;1.TEF.CE1.CR3;1.TEF.CE1.CR3 Valorar el impacto de la planificación y la importancia del ahorro, sabiendo elaborar y gestionar, de forma adecuada, un presupuesto de ingresos y gastos personales a corto, medio y largo plazo.;Nivel de logro;NI,EP,C,R,E;
1.TEF.CE1.CR1 Comprender conceptos económicos básicos, interpretando la problemática económica de su entorno y valorando la importancia de la intervención del sector público, fundamentalmente en la corrección de desigualdade;1.TEF.CE1.CR1;1.TEF.CE1.CR1 Comprender conceptos económicos básicos, interpretando la problemática económica de su entorno y valorando la importancia de la intervención del sector público, fundamentalmente en la corrección de desigualdades.;Nivel de logro;NI,EP,C,R,E;
1.TEF.CE2.CR1 Entender la importancia del respeto a los derechos de los consumidores, identificando las distintas posibilidades de preservarlos y conociendo la posibilidad de recurrir a las organizaciones que, en los distint;1.TEF.CE2.CR1;1.TEF.CE2.CR1 Entender la importancia del respeto a los derechos de los consumidores, identificando las distintas posibilidades de preservarlos y conociendo la posibilidad de recurrir a las organizaciones que, en los distintos ámbitos, desde el local al internacional, velan por la preservación de dichos derechos y pueden prestar asistencia ante una vulneración de los mismos.;Nivel de logro;NI,EP,C,R,E;
1.TEF.CE2.CR2 Identificar documentos relacionados con operaciones habituales de consumo, trabajo y negocios, así como conocer los trámites habituales en las relaciones con las administraciones públicas, cumplimentándolos y t;1.TEF.CE2.CR2;1.TEF.CE2.CR2 Identificar documentos relacionados con operaciones habituales de consumo, trabajo y negocios, así como conocer los trámites habituales en las relaciones con las administraciones públicas, cumplimentándolos y tramitándolos, tanto de forma manual como telemática.;Nivel de logro;NI,EP,C,R,E;
1.TEF.CE3.CR1 Identificar las fortalezas y debilidades personales, relacionándolas con los diferentes ámbitos del desarrollo personal y la vida diaria.;1.TEF.CE3.CR1;1.TEF.CE3.CR1 Identificar las fortalezas y debilidades personales, relacionándolas con los diferentes ámbitos del desarrollo personal y la vida diaria.;Nivel de logro;NI,EP,C,R,E;
1.TEF.CE3.CR2 Afrontar y resolver, de forma adecuada, los problemas planteados, empleando, sus propios recursos personales y seleccionando otros, tanto materiales como humanos, idóneos para su correcta resolución.;1.TEF.CE3.CR2;1.TEF.CE3.CR2 Afrontar y resolver, de forma adecuada, los problemas planteados, empleando, sus propios recursos personales y seleccionando otros, tanto materiales como humanos, idóneos para su correcta resolución.;Nivel de logro;NI,EP,C,R,E;
1.TEF.CE3.CR3 Analizar los resultados alcanzados, desarrollando una actitud de superación, mejora y perfeccionamiento.;1.TEF.CE3.CR3;1.TEF.CE3.CR3 Analizar los resultados alcanzados, desarrollando una actitud de superación, mejora y perfeccionamiento.;Nivel de logro;NI,EP,C,R,E;
1.TEF.CE4.CR1 Comprender la importancia del trabajo en equipo, desarrollando las habilidades sociales, personales, comunicativas y de inteligencia personal necesarias, para poder realizar actividades de trabajo cooperativo.;1.TEF.CE4.CR1;1.TEF.CE4.CR1 Comprender la importancia del trabajo en equipo, desarrollando las habilidades sociales, personales, comunicativas y de inteligencia personal necesarias, para poder realizar actividades de trabajo cooperativo.;Nivel de logro;NI,EP,C,R,E;
1.TEF.CE4.CR2 Desarrollar una actitud flexible en la resolución de conflictos, proponiendo diferentes alternativas e intentando alcanzar acuerdos, mediante la negociación.;1.TEF.CE4.CR2;1.TEF.CE4.CR2 Desarrollar una actitud flexible en la resolución de conflictos, proponiendo diferentes alternativas e intentando alcanzar acuerdos, mediante la negociación.;Nivel de logro;NI,EP,C,R,E;
1.TEF.CE4.CR3 Ejercer el liderazgo de una manera positiva, demostrando iniciativa y respeto, expresando con claridad no solo sus ideas, sino también recogiendo y argumentando las de los otros miembros del equipo.;1.TEF.CE4.CR3;1.TEF.CE4.CR3 Ejercer el liderazgo de una manera positiva, demostrando iniciativa y respeto, expresando con claridad no solo sus ideas, sino también recogiendo y argumentando las de los otros miembros del equipo.;Nivel de logro;NI,EP,C,R,E;
1.TEF.CE5.CR1 Entender y reconocer las cualidades personales y sociales de la persona emprendedora, relacionando el papel del emprendimiento con la innovación y el bienestar social.;1.TEF.CE5.CR1;1.TEF.CE5.CR1 Entender y reconocer las cualidades personales y sociales de la persona emprendedora, relacionando el papel del emprendimiento con la innovación y el bienestar social.;Nivel de logro;NI,EP,C,R,E;
1.TEF.CE5.CR2 Reconocer la función social que desempeñan las empresas y valorar la importancia de su comportamiento ético, proponiendo iniciativas emprendedoras que reduzcan el impacto social y medioambiental.;1.TEF.CE5.CR2;1.TEF.CE5.CR2 Reconocer la función social que desempeñan las empresas y valorar la importancia de su comportamiento ético, proponiendo iniciativas emprendedoras que reduzcan el impacto social y medioambiental.;Nivel de logro;NI,EP,C,R,E;
1.TEF.CE5.CR3 Elaborar proyectos de emprendimiento sencillos que partan de la investigación del entorno e incluyan un plan de comercialización, valorando la utilidad de las iniciativas empresariales para la sociedad.;1.TEF.CE5.CR3;1.TEF.CE5.CR3 Elaborar proyectos de emprendimiento sencillos que partan de la investigación del entorno e incluyan un plan de comercialización, valorando la utilidad de las iniciativas empresariales para la sociedad.;Nivel de logro;NI,EP,C,R,E;
1.TEF.CE5.CR4 Seleccionar fuentes de información fiables, contrastando y justificando su veracidad y adoptando una actitud crítica.;1.TEF.CE5.CR4;1.TEF.CE5.CR4 Seleccionar fuentes de información fiables, contrastando y justificando su veracidad y adoptando una actitud crítica.;Nivel de logro;NI,EP,C,R,E;
