outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
2.DESDI.CE1.CR1  Identificar los métodos de acceso a un entorno virtual de aprendizaje, utilizando contraseñas seguras y realizando su recuperación, en caso de ser necesario.;2.DESDI.CE1.CR1 ;2.DESDI.CE1.CR1  Identificar los métodos de acceso a un entorno virtual de aprendizaje, utilizando contraseñas seguras y realizando su recuperación, en caso de ser necesario.;Nivel de logro;NI,EP,C,R,E;
2.DESDI.CE1.CR2  Reconocer las opciones básicas y avanzadas en la configuración del entorno personal digital de aprendizaje, haciendo uso de ellas para acceder a los contenidos y a las tareas, entre otras finalidades.;2.DESDI.CE1.CR2;2.DESDI.CE1.CR2  Reconocer las opciones básicas y avanzadas en la configuración del entorno personal digital de aprendizaje, haciendo uso de ellas para acceder a los contenidos y a las tareas, entre otras finalidades.;Nivel de logro;NI,EP,C,R,E;
2.DESDI.CE1.CR3  Interactuar en el entorno virtual, comunicándose con el resto de usuarios de una forma activa, eficaz y respetuosa.;2.DESDI.CE1.CR3 ;2.DESDI.CE1.CR3  Interactuar en el entorno virtual, comunicándose con el resto de usuarios de una forma activa, eficaz y respetuosa.;Nivel de logro;NI,EP,C,R,E;
2.DESDI.CE2.CR1  Conocer las herramientas que permiten realizar búsquedas en Internet y sus parámetros de configuración, identificando las más adecuadas para obtener diferentes tipos de información y comparando los resultados o;2.DESDI.CE2.CR1 ;2.DESDI.CE2.CR1  Conocer las herramientas que permiten realizar búsquedas en Internet y sus parámetros de configuración, identificando las más adecuadas para obtener diferentes tipos de información y comparando los resultados obtenidos.;Nivel de logro;NI,EP,C,R,E;
2.DESDI.CE2.CR2  Identificar las diferentes fuentes de información disponibles en Internet, diferenciando las más fiables y seleccionando las que son más útiles.;2.DESDI.CE2.CR2 ;2.DESDI.CE2.CR2  Identificar las diferentes fuentes de información disponibles en Internet, diferenciando las más fiables y seleccionando las que son más útiles.;Nivel de logro;NI,EP,C,R,E;
2.DESDI.CE2.CR3  Valorar la autenticidad de la información obtenida en Internet, contrastándola con otras fuentes y ofreciendo herramientas que permitan corroborar su veracidad.;2.DESDI.CE2.CR3 ;2.DESDI.CE2.CR3  Valorar la autenticidad de la información obtenida en Internet, contrastándola con otras fuentes y ofreciendo herramientas que permitan corroborar su veracidad.;Nivel de logro;NI,EP,C,R,E;
2.DESDI.CE3.CR1  Conocer el uso de las herramientas digitales óptimas que permitan crear contenidos y presentaciones que incluyan, entre otros, textos, imágenes y sonidos, reconociendo los formatos más utilizados.;2.DESDI.CE3.CR1 ;2.DESDI.CE3.CR1  Conocer el uso de las herramientas digitales óptimas que permitan crear contenidos y presentaciones que incluyan, entre otros, textos, imágenes y sonidos, reconociendo los formatos más utilizados.;Nivel de logro;NI,EP,C,R,E;
2.DESDI.CE3.CR2  Utilizar herramientas que permitan la edición de imágenes, retocando sus parámetros básicos para ajustar su tamaño, calidad y otros defectos.;2.DESDI.CE3.CR2 ;2.DESDI.CE3.CR2  Utilizar herramientas que permitan la edición de imágenes, retocando sus parámetros básicos para ajustar su tamaño, calidad y otros defectos.;Nivel de logro;NI,EP,C,R,E;
2.DESDI.CE3.CR3  Realizar edición básica de vídeos, conociendo y aplicando distintas herramientas y los formatos más utilizados.;2.DESDI.CE3.CR3;2.DESDI.CE3.CR3  Realizar edición básica de vídeos, conociendo y aplicando distintas herramientas y los formatos más utilizados.;Nivel de logro;NI,EP,C,R,E;
2.DESDI.CE4.CR1  Conocer el entorno de programación y las herramientas visuales disponibles, ofreciendo las opciones necesarias para crear un programa y ejecutarlo.;2.DESDI.CE4.CR1 ;2.DESDI.CE4.CR1  Conocer el entorno de programación y las herramientas visuales disponibles, ofreciendo las opciones necesarias para crear un programa y ejecutarlo.;Nivel de logro;NI,EP,C,R,E;
2.DESDI.CE4.CR2  Identificar el orden en el que se ejecuta un programa, comprendiendo las instrucciones condicionales y repetitivas que permiten cambiar dicho orden.;2.DESDI.CE4.CR2 ;2.DESDI.CE4.CR2  Identificar el orden en el que se ejecuta un programa, comprendiendo las instrucciones condicionales y repetitivas que permiten cambiar dicho orden.;Nivel de logro;NI,EP,C,R,E;
2.DESDI.CE4.CR3  Diseñar programas sencillos que resuelvan tareas simples, desarrollando estrategias de colaboración para el trabajo en equipo y comparando diferentes soluciones para un mismo problema.;2.DESDI.CE4.CR3;2.DESDI.CE4.CR3  Diseñar programas sencillos que resuelvan tareas simples, desarrollando estrategias de colaboración para el trabajo en equipo y comparando diferentes soluciones para un mismo problema.;Nivel de logro;NI,EP,C,R,E;
