outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
2.EPVA.CE1.CR1  Reconocer los factores históricos y sociales que rodean las producciones plásticas, visuales y audiovisuales más relevantes, así como su función y finalidad, describiendo sus particularidades y su papel como tr;2.EPVA.CE1.CR1 ;2.EPVA.CE1.CR1  Reconocer los factores históricos y sociales que rodean las producciones plásticas, visuales y audiovisuales más relevantes, así como su función y finalidad, describiendo sus particularidades y su papel como transmisoras de valores y convicciones, con interés y respeto, desde una perspectiva de género.;Nivel de logro;NI,EP,C,R,E;
2.EPVA.CE1.CR2  Valorar la importancia de la conservación del patrimonio cultural y artístico a través del conocimiento y el análisis guiado de obras de arte.;2.EPVA.CE1.CR2 ;2.EPVA.CE1.CR2  Valorar la importancia de la conservación del patrimonio cultural y artístico a través del conocimiento y el análisis guiado de obras de arte.;Nivel de logro;NI,EP,C,R,E;
2.EPVA.CE2.CR1  Explicar, de forma razonada, la importancia del proceso que media entre la realidad, el imaginario y la producción, superando estereotipos y mostrando un comportamiento respetuoso con la diversidad cultural.;2.EPVA.CE2.CR1;2.EPVA.CE2.CR1  Explicar, de forma razonada, la importancia del proceso que media entre la realidad, el imaginario y la producción, superando estereotipos y mostrando un comportamiento respetuoso con la diversidad cultural.;Nivel de logro;NI,EP,C,R,E;
2.EPVA.CE2.CR2  Analizar, de forma guiada, diversas producciones artísticas, incluidas las propias y las de sus iguales, desarrollando con interés una mirada estética hacia el mundo y respetando la diversidad de las expresione;2.EPVA.CE2.CR2 ;2.EPVA.CE2.CR2  Analizar, de forma guiada, diversas producciones artísticas, incluidas las propias y las de sus iguales, desarrollando con interés una mirada estética hacia el mundo y respetando la diversidad de las expresiones culturales.;Nivel de logro;NI,EP,C,R,E;
2.EPVA.CE3.CR1  Seleccionar y describir propuestas plásticas, visuales y audiovisuales de diversos tipos y épocas, analizándolas con curiosidad y respeto desde una perspectiva de género, e incorporándolas a su cultura personal;2.EPVA.CE3.CR1 ;2.EPVA.CE3.CR1  Seleccionar y describir propuestas plásticas, visuales y audiovisuales de diversos tipos y épocas, analizándolas con curiosidad y respeto desde una perspectiva de género, e incorporándolas a su cultura personal y su imaginario proprio.;Nivel de logro;NI,EP,C,R,E;
2.EPVA.CE3.CR2  Argumentar el disfrute producido por la recepción del arte en todas sus formas y vertientes, compartiendo con respeto impresiones y emociones y expresando la opinión personal de forma abierta.;2.EPVA.CE3.CR2 ;2.EPVA.CE3.CR2  Argumentar el disfrute producido por la recepción del arte en todas sus formas y vertientes, compartiendo con respeto impresiones y emociones y expresando la opinión personal de forma abierta.;Nivel de logro;NI,EP,C,R,E;
2.EPVA.CE4.CR1  Reconocer los rasgos particulares de diversas técnicas y lenguajes artísticos, así como sus distintos procesos y resultados en función de los contextos sociales, históricos, geográficos y tecnológicos, mostran;2.EPVA.CE4.CR1;2.EPVA.CE4.CR1  Reconocer los rasgos particulares de diversas técnicas y lenguajes artísticos, así como sus distintos procesos y resultados en función de los contextos sociales, históricos, geográficos y tecnológicos, mostrando interés y eficacia en la investigación, la experimentación y la búsqueda de información.;Nivel de logro;NI,EP,C,R,E;
2.EPVA.CE4.CR2  Analizar, de forma guiada, las especificidades de los lenguajes de diferentes producciones culturales y artísticas, estableciendo conexiones entre ellas e incorporándolas creativamente en las producciones prop;2.EPVA.CE4.CR2;2.EPVA.CE4.CR2  Analizar, de forma guiada, las especificidades de los lenguajes de diferentes producciones culturales y artísticas, estableciendo conexiones entre ellas e incorporándolas creativamente en las producciones propias.;Nivel de logro;NI,EP,C,R,E;
2.EPVA.CE5.CR1  Expresar ideas y sentimientos en diferentes producciones plásticas, visuales y audiovisuales, a través de la experimentación con diversas herramientas, técnicas y soportes, desarrollando la capacidad de comuni;2.EPVA.CE5.CR1;2.EPVA.CE5.CR1  Expresar ideas y sentimientos en diferentes producciones plásticas, visuales y audiovisuales, a través de la experimentación con diversas herramientas, técnicas y soportes, desarrollando la capacidad de comunicación y la reflexión crítica.;Nivel de logro;NI,EP,C,R,E;
2.EPVA.CE5.CR2  Realizar diferentes tipos de producciones artísticas visuales y audiovisuales individuales o colectivas, justificando y enriqueciendo su proceso y pensamiento creativo personal, mostrando iniciativa y autoconf;2.EPVA.CE5.CR2;2.EPVA.CE5.CR2  Realizar diferentes tipos de producciones artísticas visuales y audiovisuales individuales o colectivas, justificando y enriqueciendo su proceso y pensamiento creativo personal, mostrando iniciativa y autoconfianza, integrando racionalidad, empatía y sensibilidad, y seleccionando las técnicas y los soportes adecuados al propósito.;Nivel de logro;NI,EP,C,R,E;
2.EPVA.CE6.CR1  Explicar su pertenencia a un contexto cultural concreto, a través del análisis de los aspectos formales y de los factores sociales que determinan diversas producciones culturales y artísticas actuales, mostran;2.EPVA.CE6.CR1;2.EPVA.CE6.CR1  Explicar su pertenencia a un contexto cultural concreto, a través del análisis de los aspectos formales y de los factores sociales que determinan diversas producciones culturales y artísticas actuales, mostrando empatía, actitud colaborativa, abierta y respetuosa.;Nivel de logro;NI,EP,C,R,E;
2.EPVA.CE6.CR2  Utilizar creativamente referencias culturales y artísticas del entorno en la elaboración de producciones propias, mostrando una visión personal.;2.EPVA.CE6.CR2;2.EPVA.CE6.CR2  Utilizar creativamente referencias culturales y artísticas del entorno en la elaboración de producciones propias, mostrando una visión personal.;Nivel de logro;NI,EP,C,R,E;
2.EPVA.CE7.CR1  Realizar un proyecto artístico, con creatividad y de forma consciente, ajustándose al objetivo propuesto, experimentando con distintas técnicas visuales o audiovisuales en la generación de mensajes propios, y ;2.EPVA.CE7.CR1;2.EPVA.CE7.CR1  Realizar un proyecto artístico, con creatividad y de forma consciente, ajustándose al objetivo propuesto, experimentando con distintas técnicas visuales o audiovisuales en la generación de mensajes propios, y mostrando iniciativa en el empleo de lenguajes, materiales, soportes y herramientas.;Nivel de logro;NI,EP,C,R,E;
2.EPVA.CE8.CR1  Reconocer los diferentes usos y funciones de las producciones y manifestaciones artísticas, argumentando de forma individual o colectiva sus conclusiones acerca de las oportunidades que pueden generar, con una;2.EPVA.CE8.CR1;2.EPVA.CE8.CR1  Reconocer los diferentes usos y funciones de las producciones y manifestaciones artísticas, argumentando de forma individual o colectiva sus conclusiones acerca de las oportunidades que pueden generar, con una actitud abierta y con interés por conocer su importancia en la sociedad.;Nivel de logro;NI,EP,C,R,E;
2.EPVA.CE8.CR2  Desarrollar proyectos, producciones y manifestaciones artísticas con una intención previa, de forma individual o colectiva, organizando y desarrollando, de manera lógica y colaborativa las diferentes etapas y c;2.EPVA.CE8.CR2 ;2.EPVA.CE8.CR2  Desarrollar proyectos, producciones y manifestaciones artísticas con una intención previa, de forma individual o colectiva, organizando y desarrollando, de manera lógica y colaborativa las diferentes etapas y considerando las características del público destinatario.;Nivel de logro;NI,EP,C,R,E;
2.EPVA.CE8.CR3  Exponer los procesos de elaboración y el resultado final de proyectos, producciones y manifestaciones artísticas visuales y audiovisuales, realizadas de forma individual o colectiva, reconociendo los errores, ;2.EPVA.CE8.CR3;2.EPVA.CE8.CR3  Exponer los procesos de elaboración y el resultado final de proyectos, producciones y manifestaciones artísticas visuales y audiovisuales, realizadas de forma individual o colectiva, reconociendo los errores, buscando las soluciones y las estrategias más adecuadas para mejorarlas, y valorando las oportunidades de desarrollo personal que ofrecen.;Nivel de logro;NI,EP,C,R,E;
