outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
2.EVCE.CE1.CR1 Construir y expresar un concepto ajustado de sí mismo reconociendo las múltiples dimensiones de su naturaleza y personalidad, así como de la dimensión cívica y moral de la misma, a partir de la investigación y ;2.EVCE.CE1.CR1;2.EVCE.CE1.CR1 Construir y expresar un concepto ajustado de sí mismo reconociendo las múltiples dimensiones de su naturaleza y personalidad, así como de la dimensión cívica y moral de la misma, a partir de la investigación y el diálogo en torno a diversas concepciones sobre la naturaleza humana.;Nivel de logro;NI,EP,C,R,E;
2.EVCE.CE1.CR2 Identificar, gestionar y comunicar ideas, emociones, afectos y deseos con comprensión y empatía hacia las demás personas, demostrando autoestima y compartiendo un concepto adecuado de lo que deben ser las relac;2.EVCE.CE1.CR2;2.EVCE.CE1.CR2 Identificar, gestionar y comunicar ideas, emociones, afectos y deseos con comprensión y empatía hacia las demás personas, demostrando autoestima y compartiendo un concepto adecuado de lo que deben ser las relaciones con otras personas, incluyendo el ámbito afectivo-sexual.;Nivel de logro;NI,EP,C,R,E;
2.EVCE.CE1.CR3 Identificar las características que debe tener la amistad y los factores que la favorecen, distinguiendo las amistades de las relaciones interesadas y analizando los mitos del amor romántico asociados con la vi;2.EVCE.CE1.CR3;2.EVCE.CE1.CR3 Identificar las características que debe tener la amistad y los factores que la favorecen, distinguiendo las amistades de las relaciones interesadas y analizando los mitos del amor romántico asociados con la violencia de género.;Nivel de logro;NI,EP,C,R,E;
2.EVCE.CE1.CR4 Comprender las diversas relaciones afectivas y sexuales de manera sana y equilibrada, así como el significado de heterosexualidad, homosexualidad y bisexualidad, fomentando el respeto a la diversidad sexual.;2.EVCE.CE1.CR4;2.EVCE.CE1.CR4 Comprender las diversas relaciones afectivas y sexuales de manera sana y equilibrada, así como el significado de heterosexualidad, homosexualidad y bisexualidad, fomentando el respeto a la diversidad sexual.;Nivel de logro;NI,EP,C,R,E;
2.EVCE.CE1.CR5 Desarrollar y demostrar autonomía moral a través de la práctica de la deliberación racional, el uso de conceptos éticos, y el diálogo respetuoso con los demás en torno a distintos valores y modos de vida, así c;2.EVCE.CE1.CR5;2.EVCE.CE1.CR5 Desarrollar y demostrar autonomía moral a través de la práctica de la deliberación racional, el uso de conceptos éticos, y el diálogo respetuoso con los demás en torno a distintos valores y modos de vida, así como a problemas relacionados con el ejercicio de los derechos individuales, el uso responsable y seguro de las redes, las conductas adictivas, el acoso escolar y las conductas de riesgo referidas a ellos.;Nivel de logro;NI,EP,C,R,E;
2.EVCE.CE2.CR1 Promover y demostrar una convivencia pacífica, respetuosa, democrática y comprometida con el bien común, a partir de la investigación sobre la naturaleza social y política del ser humano y el uso y comprensión ;2.EVCE.CE2.CR1;2.EVCE.CE2.CR1 Promover y demostrar una convivencia pacífica, respetuosa, democrática y comprometida con el bien común, a partir de la investigación sobre la naturaleza social y política del ser humano y el uso y comprensión crítica de los conceptos de ley, poder, soberanía, justicia, Estado, democracia, memoria democrática, dignidad y derechos humanos.;Nivel de logro;NI,EP,C,R,E;
2.EVCE.CE2.CR2 Fomentar el ejercicio de la ciudadanía activa y democrática a través del conocimiento del movimiento asociativo y la participación respetuosa, dialogante y constructiva en actividades de grupo que impliquen tom;2.EVCE.CE2.CR2;2.EVCE.CE2.CR2 Fomentar el ejercicio de la ciudadanía activa y democrática a través del conocimiento del movimiento asociativo y la participación respetuosa, dialogante y constructiva en actividades de grupo que impliquen tomar decisiones colectivas, planificar acciones coordinadas y resolver problemas aplicando procedimientos y principios cívicos, éticos y democráticos explícitos.;Nivel de logro;NI,EP,C,R,E;
2.EVCE.CE2.CR3 Contribuir a generar un compromiso activo con el bien común a través del análisis y la toma razonada y dialogante de posición en torno a cuestiones éticas de actualidad como la lucha contra la desigualdad y la ;2.EVCE.CE2.CR3;2.EVCE.CE2.CR3 Contribuir a generar un compromiso activo con el bien común a través del análisis y la toma razonada y dialogante de posición en torno a cuestiones éticas de actualidad como la lucha contra la desigualdad y la pobreza, el derecho al trabajo, la salud, la educación y la justicia, así como sobre los fines y límites éticos de la investigación científica.;Nivel de logro;NI,EP,C,R,E;
2.EVCE.CE2.CR4 Tomar consciencia de la necesidad de la lucha por una efectiva igualdad de género, y en contra de la violencia y explotación ejercidas sobre las mujeres, a través del análisis de políticas de igualdad y polític;2.EVCE.CE2.CR4;2.EVCE.CE2.CR4 Tomar consciencia de la necesidad de la lucha por una efectiva igualdad de género, y en contra de la violencia y explotación ejercidas sobre las mujeres, a través del análisis de políticas de igualdad y políticas salariales, de las diversas olas y corrientes del feminismo y de las medidas de prevención de la desigualdad, la violencia y la discriminación por razón de género y orientación sexual, mostrando igualmente conocimiento de los derechos LGTBIQ+ y reconociendo la necesidad de respetarlos.;Nivel de logro;NI,EP,C,R,E;
2.EVCE.CE2.CR5 Contribuir activamente al bienestar social adoptando una posición propia, explícita, informada y éticamente fundamentada sobre el valor y pertinencia de los derechos humanos, el respeto por la diversidad etnocu;2.EVCE.CE2.CR5;2.EVCE.CE2.CR5 Contribuir activamente al bienestar social adoptando una posición propia, explícita, informada y éticamente fundamentada sobre el valor y pertinencia de los derechos humanos, el respeto por la diversidad etnocultural, la consideración de los bienes públicos globales y la percepción del valor social de los impuestos.;Nivel de logro;NI,EP,C,R,E;
