outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
2.GEH.CE1.CR1 Elaborar, expresar y presentar contenidos propios en forma de esquemas, tablas informativas y otros formatos mediante el desarrollo de estrategias de búsqueda, selección y tratamiento de información relativas a;2.GEH.CE1.CR1;2.GEH.CE1.CR1 Elaborar, expresar y presentar contenidos propios en forma de esquemas, tablas informativas y otros formatos mediante el desarrollo de estrategias de búsqueda, selección y tratamiento de información relativas a procesos y acontecimientos relevantes del presente y del pasado.;Nivel de logro;NI,EP,C,R,E;
2.GEH.CE1.CR2 Contrastar y argumentar sobre temas y acontecimientos de la Prehistoria, la Edad Antigua, la Edad Media y la Edad Moderna, localizando y analizando de forma crítica fuentes primarias y secundarias como pruebas ;2.GEH.CE1.CR2;2.GEH.CE1.CR2 Contrastar y argumentar sobre temas y acontecimientos de la Prehistoria, la Edad Antigua, la Edad Media y la Edad Moderna, localizando y analizando de forma crítica fuentes primarias y secundarias como pruebas históricas.;Nivel de logro;NI,EP,C,R,E;
2.GEH.CE2.CR1 Identificar, valorar y mostrar interés por los principales problemas que afectan a la sociedad, adoptando una posición crítica y proactiva hacia los mismos.;2.GEH.CE2.CR1;2.GEH.CE2.CR1 Identificar, valorar y mostrar interés por los principales problemas que afectan a la sociedad, adoptando una posición crítica y proactiva hacia los mismos.;Nivel de logro;NI,EP,C,R,E;
2.GEH.CE2.CR2 Argumentar de forma crítica sobre problemas de actualidad a través de conocimientos geográficos e históricos, contrastando y valorando fuentes diversas.;2.GEH.CE2.CR2;2.GEH.CE2.CR2 Argumentar de forma crítica sobre problemas de actualidad a través de conocimientos geográficos e históricos, contrastando y valorando fuentes diversas.;Nivel de logro;NI,EP,C,R,E;
2.GEH.CE2.CR3 Incorporar y utilizar adecuadamente términos, conceptos y acontecimientos relacionados con la geografía, la historia y otras disciplinas de las ciencias sociales, a través de intervenciones orales, textos escri;2.GEH.CE2.CR3;2.GEH.CE2.CR3 Incorporar y utilizar adecuadamente términos, conceptos y acontecimientos relacionados con la geografía, la historia y otras disciplinas de las ciencias sociales, a través de intervenciones orales, textos escritos y otros productos, mostrando planteamientos originales y propuestas creativas.;Nivel de logro;NI,EP,C,R,E;
2.GEH.CE2.CR4 Elaborar juicios argumentados, respetando las opiniones de los demás y enriqueciendo el acervo común en el contexto del mundo actual, sus retos y sus conflictos desde una perspectiva sistémica y global.;2.GEH.CE2.CR4;2.GEH.CE2.CR4 Elaborar juicios argumentados, respetando las opiniones de los demás y enriqueciendo el acervo común en el contexto del mundo actual, sus retos y sus conflictos desde una perspectiva sistémica y global.;Nivel de logro;NI,EP,C,R,E;
2.GEH.CE3.CR1 Adquirir y construir conocimiento relevante del mundo actual y de la historia, a través de procesos inductivos, de la investigación y del trabajo por proyectos, retos o problemas, mediante la elaboración de pro;2.GEH.CE3.CR1;2.GEH.CE3.CR1 Adquirir y construir conocimiento relevante del mundo actual y de la historia, a través de procesos inductivos, de la investigación y del trabajo por proyectos, retos o problemas, mediante la elaboración de productos que reflejen la comprensión de los fenómenos y problemas abordados.;Nivel de logro;NI,EP,C,R,E;
2.GEH.CE3.CR2 Identificar los principales problemas, retos y desafíos a los que se ha enfrentado la humanidad a lo largo de la historia, los cambios producidos, sus causas y consecuencias, así como los que, en la actualidad,;2.GEH.CE3.CR2;2.GEH.CE3.CR2 Identificar los principales problemas, retos y desafíos a los que se ha enfrentado la humanidad a lo largo de la historia, los cambios producidos, sus causas y consecuencias, así como los que, en la actualidad, debemos plantear y resolver en torno a los Objetivos de Desarrollo Sostenible.;Nivel de logro;NI,EP,C,R,E;
2.GEH.CE3.CR3 Representar adecuadamente información geográfica e histórica a través de diversas formas de representación gráfica, cartográfica y visual.;2.GEH.CE3.CR3;2.GEH.CE3.CR3 Representar adecuadamente información geográfica e histórica a través de diversas formas de representación gráfica, cartográfica y visual.;Nivel de logro;NI,EP,C,R,E;
2.GEH.CE3.CR4 Utilizar una secuencia cronológica con objeto de examinar la relación entre hechos y procesos en diferentes períodos y lugares históricos (simultaneidad y duración), utilizando términos y conceptos apropiados.;2.GEH.CE3.CR4;2.GEH.CE3.CR4 Utilizar una secuencia cronológica con objeto de examinar la relación entre hechos y procesos en diferentes períodos y lugares históricos (simultaneidad y duración), utilizando términos y conceptos apropiados.;Nivel de logro;NI,EP,C,R,E;
2.GEH.CE3.CR5 Analizar procesos de cambio histórico de relevancia a través del uso de diferentes fuentes de información, teniendo en cuenta las continuidades y permanencias en diferentes periodos y lugares.;2.GEH.CE3.CR5;2.GEH.CE3.CR5 Analizar procesos de cambio histórico de relevancia a través del uso de diferentes fuentes de información, teniendo en cuenta las continuidades y permanencias en diferentes periodos y lugares.;Nivel de logro;NI,EP,C,R,E;
2.GEH.CE4.CR1 Interpretar el entorno desde una perspectiva sistémica e integradora, a través del concepto de paisaje, identificando sus principales elementos y las interrelaciones existentes.;2.GEH.CE4.CR1;2.GEH.CE4.CR1 Interpretar el entorno desde una perspectiva sistémica e integradora, a través del concepto de paisaje, identificando sus principales elementos y las interrelaciones existentes.;Nivel de logro;NI,EP,C,R,E;
2.GEH.CE4.CR2 Valorar el grado de sostenibilidad y de equilibrio de los diferentes espacios y desde distintas escalas, y analizar su transformación y degradación a través del tiempo por la acción humana en la explotación de ;2.GEH.CE4.CR2;2.GEH.CE4.CR2 Valorar el grado de sostenibilidad y de equilibrio de los diferentes espacios y desde distintas escalas, y analizar su transformación y degradación a través del tiempo por la acción humana en la explotación de los recursos, su relación con la evolución de la población y las estrategias desarrolladas para su control y dominio y los conflictos que ha provocado.;Nivel de logro;NI,EP,C,R,E;
2.GEH.CE4.CR3 Argumentar la necesidad de acciones de defensa, protección, conservación y mejora del entorno (natural, rural y urbano) a través de propuestas e iniciativas que reflejen compromisos y conductas en favor de la s;2.GEH.CE4.CR3;2.GEH.CE4.CR3 Argumentar la necesidad de acciones de defensa, protección, conservación y mejora del entorno (natural, rural y urbano) a través de propuestas e iniciativas que reflejen compromisos y conductas en favor de la sostenibilidad y del reparto justo y solidario de los recursos.;Nivel de logro;NI,EP,C,R,E;
2.GEH.CE5.CR1 Identificar, interpretar y analizar los mecanismos que han regulado la convivencia y la vida en común a lo largo de la historia, desde el origen de la sociedad a las distintas civilizaciones que se han ido suce;2.GEH.CE5.CR1;2.GEH.CE5.CR1 Identificar, interpretar y analizar los mecanismos que han regulado la convivencia y la vida en común a lo largo de la historia, desde el origen de la sociedad a las distintas civilizaciones que se han ido sucediendo, señalando los principales modelos de organización social, política, económica y religiosa que se han gestado.;Nivel de logro;NI,EP,C,R,E;
2.GEH.CE5.CR2 Señalar y explicar aquellas experiencias históricas más destacables, y anteriores a la época contemporánea, en las que se logró establecer sistemas políticos que favorecieron el ejercicio de derechos y libertad;2.GEH.CE5.CR2;2.GEH.CE5.CR2 Señalar y explicar aquellas experiencias históricas más destacables, y anteriores a la época contemporánea, en las que se logró establecer sistemas políticos que favorecieron el ejercicio de derechos y libertades de los individuos y de la colectividad, considerándolas como antecedentes de las posteriores conquistas democráticas y referentes históricos de las libertades actuales.;Nivel de logro;NI,EP,C,R,E;
