outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
2.LCL.CE1.CR1 Reconocer las lenguas de España y las variedades dialectales del español, con atención especial a las de Castilla la Mancha, identificando algunas nociones básicas de las lenguas, tanto de España como las qu...;2.LCL.CE1.CR1;2.LCL.CE1.CR1 Reconocer las lenguas de España y las variedades dialectales del español, con atención especial a las de Castilla la Mancha, identificando algunas nociones básicas de las lenguas, tanto de España como las que forman los repertorios lingüísticos del alumnado, y contrastando algunos de sus rasgos en manifestaciones orales, escritas y multimodales.;Nivel de logro;NI, EP, C, R, E;
2.LCL.CE1.CR2 Identificar prejuicios y estereotipos lingüísticos adoptando una actitud de respeto y valoración de la riqueza cultural, lingüística y dialectal, a partir de la observación de la diversidad lingüística del e...;2.LCL.CE1.CR2;2.LCL.CE1.CR2 Identificar prejuicios y estereotipos lingüísticos adoptando una actitud de respeto y valoración de la riqueza cultural, lingüística y dialectal, a partir de la observación de la diversidad lingüística del entorno.;Nivel de logro;NI, EP, C, R, E;
2.LCL.CE10.CR1  Identificar y desterrar los usos discriminatorios de la lengua, los abusos de poder a través de la palabra y los usos manipuladores del lenguaje a partir de la reflexión y el análisis de los elementos lingü...;2.LCL.CE10.CR1;2.LCL.CE10.CR1  Identificar y desterrar los usos discriminatorios de la lengua, los abusos de poder a través de la palabra y los usos manipuladores del lenguaje a partir de la reflexión y el análisis de los elementos lingüísticos, textuales y discursivos utilizados, así como de los elementos no verbales que rigen la comunicación entre las personas.;Nivel de logro;NI, EP, C, R, E;
2.LCL.CE10.CR2  Utilizar estrategias para la resolución dialogada de los conflictos y la búsqueda de consensos tanto en el ámbito personal como educativo y social, desarrollando una postura abierta, tolerante y flexible.;2.LCL.CE10.CR2;2.LCL.CE10.CR2  Utilizar estrategias para la resolución dialogada de los conflictos y la búsqueda de consensos tanto en el ámbito personal como educativo y social, desarrollando una postura abierta, tolerante y flexible.;Nivel de logro;NI, EP, C, R, E;
2.LCL.CE2.CR1 Comprender el sentido global, la estructura, la información más relevante en función de las necesidades comunicativas y la intención del emisor en textos orales y multimodales sencillos de diferentes ámbitos...;2.LCL.CE2.CR1;2.LCL.CE2.CR1 Comprender el sentido global, la estructura, la información más relevante en función de las necesidades comunicativas y la intención del emisor en textos orales y multimodales sencillos de diferentes ámbitos, analizando la interacción entre los diferentes códigos.;Nivel de logro;NI, EP, C, R, E;
2.LCL.CE2.CR2 Valorar la forma y el contenido de textos orales y multimodales sencillos, evaluando su calidad, su fiabilidad y la idoneidad del canal utilizado, así como la eficacia de los procedimientos comunicativos emp...;2.LCL.CE2.CR2;2.LCL.CE2.CR2 Valorar la forma y el contenido de textos orales y multimodales sencillos, evaluando su calidad, su fiabilidad y la idoneidad del canal utilizado, así como la eficacia de los procedimientos comunicativos empleados.;Nivel de logro;NI, EP, C, R, E;
2.LCL.CE3.CR1 Realizar narraciones y exposiciones orales sencillas con diferente grado de planificación sobre temas de interés personal, social y educativo, ajustándose a las convenciones propias de los diversos géneros d...;2.LCL.CE3.CR1;2.LCL.CE3.CR1 Realizar narraciones y exposiciones orales sencillas con diferente grado de planificación sobre temas de interés personal, social y educativo, ajustándose a las convenciones propias de los diversos géneros discursivos, con fluidez, coherencia, cohesión y el registro adecuado, en diferentes soportes y utilizando, de manera eficaz, recursos verbales y no verbales.;Nivel de logro;NI, EP, C, R, E;
2.LCL.CE3.CR2 Participar en interacciones orales informales, en el trabajo en equipo y en situaciones orales formales de carácter dialogado de manera activa y adecuada, con actitudes de escucha activa y haciendo uso de es...;2.LCL.CE3.CR2;2.LCL.CE3.CR2 Participar en interacciones orales informales, en el trabajo en equipo y en situaciones orales formales de carácter dialogado de manera activa y adecuada, con actitudes de escucha activa y haciendo uso de estrategias de cooperación conversacional y cortesía lingüística, utilizando un lenguaje no discriminatorio.;Nivel de logro;NI, EP, C, R, E;
2.LCL.CE3.CR3 Conseguir, de manera eficaz, los propósitos marcados en una situación comunicativa, interpretando, valorando y mejorando las producciones orales propias y ajenas, así como los aspectos prosódicos y los eleme...;2.LCL.CE3.CR3;2.LCL.CE3.CR3 Conseguir, de manera eficaz, los propósitos marcados en una situación comunicativa, interpretando, valorando y mejorando las producciones orales propias y ajenas, así como los aspectos prosódicos y los elementos no verbales (gestos, movimientos y mirada, entre otros).;Nivel de logro;NI, EP, C, R, E;
2.LCL.CE4.CR1 Comprender e interpretar el sentido global, la estructura, la información más relevante y la intención del emisor en textos escritos y multimodales sencillos, de diferentes ámbitos, que respondan a diferente...;2.LCL.CE4.CR1;2.LCL.CE4.CR1 Comprender e interpretar el sentido global, la estructura, la información más relevante y la intención del emisor en textos escritos y multimodales sencillos, de diferentes ámbitos, que respondan a diferentes propósitos de lectura, realizando las inferencias necesarias.;Nivel de logro;NI, EP, C, R, E;
2.LCL.CE4.CR2 Valorar la forma y el contenido de textos sencillos evaluando su calidad, su fiabilidad y la idoneidad del canal utilizado, así como la eficacia de los procedimientos comunicativos empleados.;2.LCL.CE4.CR2;2.LCL.CE4.CR2 Valorar la forma y el contenido de textos sencillos evaluando su calidad, su fiabilidad y la idoneidad del canal utilizado, así como la eficacia de los procedimientos comunicativos empleados.;Nivel de logro;NI, EP, C, R, E;
2.LCL.CE4.CR3 Manifestar una actitud crítica ante cualquier tipo de texto, a través de una lectura reflexiva que permita identificar posturas de acuerdo o desacuerdo, respetando en todo momento a las personas que expresan...;2.LCL.CE4.CR3;2.LCL.CE4.CR3 Manifestar una actitud crítica ante cualquier tipo de texto, a través de una lectura reflexiva que permita identificar posturas de acuerdo o desacuerdo, respetando en todo momento a las personas que expresan su opinión en ellos.;Nivel de logro;NI, EP, C, R, E;
2.LCL.CE4.CR4 Reconocer el sentido de palabras, expresiones, enunciados o pequeños fragmentos extraídos de un texto, en función de su sentido global, incorporándolos a su uso personal de la lengua.;2.LCL.CE4.CR4;2.LCL.CE4.CR4 Reconocer el sentido de palabras, expresiones, enunciados o pequeños fragmentos extraídos de un texto, en función de su sentido global, incorporándolos a su uso personal de la lengua.;Nivel de logro;NI, EP, C, R, E;
"2.LCL.CE5.CR1 Planificar la redacción de textos escritos y multimodales sencillos, atendiendo a la situación comunicativa, al destinatario, al propósito y al canal; redactar borradores y revisarlos con ayuda del diálogo e...";2.LCL.CE5.CR1;"2.LCL.CE5.CR1 Planificar la redacción de textos escritos y multimodales sencillos, atendiendo a la situación comunicativa, al destinatario, al propósito y al canal; redactar borradores y revisarlos con ayuda del diálogo entre iguales e instrumentos de consulta, y presentar un texto final coherente, cohesionado y con el registro adecuado.";Nivel de logro;NI, EP, C, R, E;
2.LCL.CE5.CR2 Incorporar procedimientos básicos para enriquecer los textos, atendiendo a aspectos discursivos, lingüísticos y de estilo, con precisión léxica y corrección ortográfica y gramatical.;2.LCL.CE5.CR2;2.LCL.CE5.CR2 Incorporar procedimientos básicos para enriquecer los textos, atendiendo a aspectos discursivos, lingüísticos y de estilo, con precisión léxica y corrección ortográfica y gramatical.;Nivel de logro;NI, EP, C, R, E;
"2.LCL.CE6.CR1 Localizar, seleccionar y contrastar información de manera guiada procedente de diferentes fuentes, calibrando su fiabilidad y pertinencia en función de los objetivos de lectura; organizarla e integrarla en e...";2.LCL.CE6.CR1;"2.LCL.CE6.CR1 Localizar, seleccionar y contrastar información de manera guiada procedente de diferentes fuentes, calibrando su fiabilidad y pertinencia en función de los objetivos de lectura; organizarla e integrarla en esquemas propios, y reelaborarla y comunicarla de manera creativa adoptando un punto de vista crítico y respetando los principios de propiedad intelectual.";Nivel de logro;NI, EP, C, R, E;
2.LCL.CE6.CR2 Elaborar trabajos de investigación de manera guiada en diferentes soportes sobre diversos temas de interés académico, personal o social, a partir de la información seleccionada, aplicando las convenciones bá...;2.LCL.CE6.CR2;2.LCL.CE6.CR2 Elaborar trabajos de investigación de manera guiada en diferentes soportes sobre diversos temas de interés académico, personal o social, a partir de la información seleccionada, aplicando las convenciones básicas establecidas para su presentación: organización en epígrafes, procedimientos de citas, bibliografía y webgrafía, entre otras.;Nivel de logro;NI, EP, C, R, E;
2.LCL.CE6.CR3 Emplear las tecnologías digitales en la búsqueda de información y en el proceso de comunicarla, adoptando hábitos de uso crítico, seguro, sostenible y saludable.;2.LCL.CE6.CR3;2.LCL.CE6.CR3 Emplear las tecnologías digitales en la búsqueda de información y en el proceso de comunicarla, adoptando hábitos de uso crítico, seguro, sostenible y saludable.;Nivel de logro;NI, EP, C, R, E;
