outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
3.ESCR.CE1.CR1 Entender y reconocer las cualidades personales y sociales del emprendedor, desarrollando, a partir de su identificación, las propias capacidades emprendedoras.;3.ESCR.CE1.CR1;3.ESCR.CE1.CR1 Entender y reconocer las cualidades personales y sociales del emprendedor, desarrollando, a partir de su identificación, las propias capacidades emprendedoras.;Nivel de logro;NI,EP,C,R,E;
3.ESCR.CE1.CR2 Desarrollar aptitudes de trabajo en equipo, así como las habilidades sociales y emocionales necesarias para la realización de proyectos de emprendimiento y búsqueda de oportunidades.;3.ESCR.CE1.CR2;3.ESCR.CE1.CR2 Desarrollar aptitudes de trabajo en equipo, así como las habilidades sociales y emocionales necesarias para la realización de proyectos de emprendimiento y búsqueda de oportunidades.;Nivel de logro;NI,EP,C,R,E;
3.ESCR.CE1.CR3 Aprender a trabajar, en la realidad económica y social de Castilla-La Mancha, de forma proactiva, anticipándose a los riesgos y buscando las oportunidades.;3.ESCR.CE1.CR3;3.ESCR.CE1.CR3 Aprender a trabajar, en la realidad económica y social de Castilla-La Mancha, de forma proactiva, anticipándose a los riesgos y buscando las oportunidades.;Nivel de logro;NI,EP,C,R,E;
3.ESCR.CE2.CR1 Comprender la dimensión social del emprendimiento, analizando su repercusión en el desarrollo de nuestro entorno, a través del estudio de las experiencias que existen en nuestra región.;3.ESCR.CE2.CR1;3.ESCR.CE2.CR1 Comprender la dimensión social del emprendimiento, analizando su repercusión en el desarrollo de nuestro entorno, a través del estudio de las experiencias que existen en nuestra región.;Nivel de logro;NI,EP,C,R,E;
3.ESCR.CE2.CR2 Trabajar la creatividad y la innovación como valores fundamentales del emprendimiento, conociendo formas de emprender a partir de técnicas variadas, como la gamificación.;3.ESCR.CE2.CR2;3.ESCR.CE2.CR2 Trabajar la creatividad y la innovación como valores fundamentales del emprendimiento, conociendo formas de emprender a partir de técnicas variadas, como la gamificación.;Nivel de logro;NI,EP,C,R,E;
3.ESCR.CE2.CR3 Valorar la utilidad social y económica de proyectos de emprendimiento, teniendo en cuenta las necesidades sociales, a partir de la experimentación dentro del aula.;3.ESCR.CE2.CR3;3.ESCR.CE2.CR3 Valorar la utilidad social y económica de proyectos de emprendimiento, teniendo en cuenta las necesidades sociales, a partir de la experimentación dentro del aula.;Nivel de logro;NI,EP,C,R,E;
3.ESCR.CE3.CR1 Valorar la importancia de los Objetivos de Desarrollo Sostenible para el conjunto de la sociedad, analizando, entre otras, las actuaciones que se llevan a cabo desde nuestra comunidad autónoma.;3.ESCR.CE3.CR1;3.ESCR.CE3.CR1 Valorar la importancia de los Objetivos de Desarrollo Sostenible para el conjunto de la sociedad, analizando, entre otras, las actuaciones que se llevan a cabo desde nuestra comunidad autónoma.;Nivel de logro;NI,EP,C,R,E;
3.ESCR.CE3.CR2 Desarrollar estrategias y acciones que fomenten el avance hacia modelos sostenibles e igualitarios, que eliminen, por ejemplo, brechas salariales, analizando los derechos de las personas trabajadoras, especialm;3.ESCR.CE3.CR2;3.ESCR.CE3.CR2 Desarrollar estrategias y acciones que fomenten el avance hacia modelos sostenibles e igualitarios, que eliminen, por ejemplo, brechas salariales, analizando los derechos de las personas trabajadoras, especialmente dentro de nuestra comunidad autónoma.;Nivel de logro;NI,EP,C,R,E;
3.ESCR.CE4.CR1 Reflexionar sobre las desigualdades que aparecen en las actividades económicas, empleando un espíritu crítico y constructivo.;3.ESCR.CE4.CR1;3.ESCR.CE4.CR1 Reflexionar sobre las desigualdades que aparecen en las actividades económicas, empleando un espíritu crítico y constructivo.;Nivel de logro;NI,EP,C,R,E;
3.ESCR.CE4.CR2 Aplicar técnicas de emprendimiento y creatividad, proponiendo la puesta en marcha de un proyecto local de economía circular, haciendo uso de técnicas innovadoras en el aula.;3.ESCR.CE4.CR2;3.ESCR.CE4.CR2 Aplicar técnicas de emprendimiento y creatividad, proponiendo la puesta en marcha de un proyecto local de economía circular, haciendo uso de técnicas innovadoras en el aula.;Nivel de logro;NI,EP,C,R,E;
