outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
3.MAM.CE1.CR3 Apreciar los rasgos que hacen que las manifestaciones del folclore se vinculen con las tradiciones y costumbres de un pueblo, potenciando la búsqueda de la propia identidad cultural.;3.MAM.CE1.CR3;3.MAM.CE1.CR3 Apreciar los rasgos que hacen que las manifestaciones del folclore se vinculen con las tradiciones y costumbres de un pueblo, potenciando la búsqueda de la propia identidad cultural.;Nivel de logro;NI,EP,C,R,E;
3.MAM.CE1.CR1 Explicar, con actitud abierta y respetuosa, las funciones desempeñadas por determinadas propuestas musicales, dancísticas y folclóricas, relacionándolas con las principales características de su contexto.;3.MAM.CE1.CR1;3.MAM.CE1.CR1 Explicar, con actitud abierta y respetuosa, las funciones desempeñadas por determinadas propuestas musicales, dancísticas y folclóricas, relacionándolas con las principales características de su contexto.;Nivel de logro;NI,EP,C,R,E;
3.MAM.CE1.CR2 Identificar los principales rasgos estilísticos de distintas propuestas musicales, dancísticas y folclóricas, evidenciando una actitud de apertura, interés y respeto en la escucha o el visionado de las mismas.;3.MAM.CE1.CR2;3.MAM.CE1.CR2 Identificar los principales rasgos estilísticos de distintas propuestas musicales, dancísticas y folclóricas, evidenciando una actitud de apertura, interés y respeto en la escucha o el visionado de las mismas.;Nivel de logro;NI,EP,C,R,E;
3.MAM.CE2.CR1 Identificar los elementos de la música, del movimiento y del folclore, mediante la lectura, audición o visionado de ejemplos, aplicando la terminología adecuada en el momento de describirlos y valorar su funció;3.MAM.CE2.CR1;3.MAM.CE2.CR1 Identificar los elementos de la música, del movimiento y del folclore, mediante la lectura, audición o visionado de ejemplos, aplicando la terminología adecuada en el momento de describirlos y valorar su función.;Nivel de logro;NI,EP,C,R,E;
3.MAM.CE2.CR2 Elaborar opiniones originales e informadas acerca de manifestaciones de música, movimiento y folclore, de forma oral y/o escrita, utilizando y seleccionando los recursos a su alcance con autonomía y espíritu cr;3.MAM.CE2.CR2;3.MAM.CE2.CR2 Elaborar opiniones originales e informadas acerca de manifestaciones de música, movimiento y folclore, de forma oral y/o escrita, utilizando y seleccionando los recursos a su alcance con autonomía y espíritu crítico.;Nivel de logro;NI,EP,C,R,E;
3.MAM.CE3.CR1 Utilizar el lenguaje musical, del movimiento y del folclore, convencional y no convencional, en las actividades de interpretación individual o colectiva, favoreciendo su uso como vehículo para la autoexpresión.;3.MAM.CE3.CR1;3.MAM.CE3.CR1 Utilizar el lenguaje musical, del movimiento y del folclore, convencional y no convencional, en las actividades de interpretación individual o colectiva, favoreciendo su uso como vehículo para la autoexpresión.;Nivel de logro;NI,EP,C,R,E;
3.MAM.CE3.CR2 Participar en las actividades de música, danza y de folclore propuestas, con actitud abierta, asumiendo el papel asignado y contribuyendo a la socialización del grupo.;3.MAM.CE3.CR2;3.MAM.CE3.CR2 Participar en las actividades de música, danza y de folclore propuestas, con actitud abierta, asumiendo el papel asignado y contribuyendo a la socialización del grupo.;Nivel de logro;NI,EP,C,R,E;
3.MAM.CE3.CR3 Crear esquemas rítmicos y melódicos sencillos, de forma individual o en grupo, desarrollando la autoestima y la imaginación.;3.MAM.CE3.CR3;3.MAM.CE3.CR3 Crear esquemas rítmicos y melódicos sencillos, de forma individual o en grupo, desarrollando la autoestima y la imaginación.;Nivel de logro;NI,EP,C,R,E;
3.MAM.CE4.CR1 Usar las técnicas propias del uso de la voz, de los recursos tecnológicos y audiovisuales, del cuerpo, de los objetos y de los instrumentos requeridos en las tareas de interpretación e improvisación artística, ;3.MAM.CE4.CR1;3.MAM.CE4.CR1 Usar las técnicas propias del uso de la voz, de los recursos tecnológicos y audiovisuales, del cuerpo, de los objetos y de los instrumentos requeridos en las tareas de interpretación e improvisación artística, potenciando la seguridad en uno mismo y el control de emociones.;Nivel de logro;NI,EP,C,R,E;
3.MAM.CE4.CR2 Utilizar la interpretación e improvisación musical y corporal como medio de expresión de ideas y sentimientos, favoreciendo la autoexpresión y la autoestima.;3.MAM.CE4.CR2;3.MAM.CE4.CR2 Utilizar la interpretación e improvisación musical y corporal como medio de expresión de ideas y sentimientos, favoreciendo la autoexpresión y la autoestima.;Nivel de logro;NI,EP,C,R,E;
3.MAM.CE4.CR3 Comprender la importancia del cuidado de la voz, del cuerpo y de los instrumentos, en las tareas de interpretación e improvisación de música, de movimiento y de folclore, favoreciendo hábitos de bienestar y seg;3.MAM.CE4.CR3;3.MAM.CE4.CR3 Comprender la importancia del cuidado de la voz, del cuerpo y de los instrumentos, en las tareas de interpretación e improvisación de música, de movimiento y de folclore, favoreciendo hábitos de bienestar y seguridad.;Nivel de logro;NI,EP,C,R,E;
3.MAM.CE5.CR1 Colaborar en el proceso del desarrollo de proyectos vinculados a cualquier tipo de manifestación expresiva musical, de movimiento y de folclore, aportando el conocimiento y habilidades técnicas personales al tr;3.MAM.CE5.CR1;3.MAM.CE5.CR1 Colaborar en el proceso del desarrollo de proyectos vinculados a cualquier tipo de manifestación expresiva musical, de movimiento y de folclore, aportando el conocimiento y habilidades técnicas personales al trabajo de equipo, con responsabilidad y actitud de disfrute.;Nivel de logro;NI,EP,C,R,E;
3.MAM.CE5.CR2 Utilizar y seleccionar de forma autónoma los diferentes recursos personales y materiales del entorno, para aportar riqueza y originalidad al proyecto de música, de movimiento y de folclore del conjunto de clase;3.MAM.CE5.CR2;3.MAM.CE5.CR2 Utilizar y seleccionar de forma autónoma los diferentes recursos personales y materiales del entorno, para aportar riqueza y originalidad al proyecto de música, de movimiento y de folclore del conjunto de clase, potenciando el espíritu colaborativo.;Nivel de logro;NI,EP,C,R,E;
