outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
3.MAT.CE1.CR1 Interpretar problemas matemáticos organizando los datos, estableciendo las relaciones entre ellos y comprendiendo las preguntas formuladas.;3.MAT.CE1.CR1;3.MAT.CE1.CR1 Interpretar problemas matemáticos organizando los datos, estableciendo las relaciones entre ellos y comprendiendo las preguntas formuladas.;Nivel de logro;NI,EP,C,R,E;
3.MAT.CE1.CR2 Aplicar herramientas y estrategias apropiadas que contribuyan a la resolución de problemas.;3.MAT.CE1.CR2;3.MAT.CE1.CR2 Aplicar herramientas y estrategias apropiadas que contribuyan a la resolución de problemas.;Nivel de logro;NI,EP,C,R,E;
3.MAT.CE1.CR3 Obtener soluciones matemáticas de un problema, activando los conocimientos y utilizando las herramientas tecnológicas necesarias.;3.MAT.CE1.CR3;3.MAT.CE1.CR3 Obtener soluciones matemáticas de un problema, activando los conocimientos y utilizando las herramientas tecnológicas necesarias.;Nivel de logro;NI,EP,C,R,E;
3.MAT.CE2.CR1 Comprobar la corrección matemática de las soluciones de un problema.;3.MAT.CE2.CR1;3.MAT.CE2.CR1 Comprobar la corrección matemática de las soluciones de un problema.;Nivel de logro;NI,EP,C,R,E;
3.MAT.CE2.CR2 Comprobar la validez de las soluciones de un problema y su coherencia en el contexto planteado, evaluando el alcance y repercusión de estas desde diferentes perspectivas (de género, de sostenibilidad, de consum;3.MAT.CE2.CR2;3.MAT.CE2.CR2 Comprobar la validez de las soluciones de un problema y su coherencia en el contexto planteado, evaluando el alcance y repercusión de estas desde diferentes perspectivas (de género, de sostenibilidad, de consumo responsable, etc.).;Nivel de logro;NI,EP,C,R,E;
3.MAT.CE3.CR1 Formular y comprobar conjeturas sencillas de forma guiada analizando patrones, propiedades y relaciones.;3.MAT.CE3.CR1;3.MAT.CE3.CR1 Formular y comprobar conjeturas sencillas de forma guiada analizando patrones, propiedades y relaciones.;Nivel de logro;NI,EP,C,R,E;
3.MAT.CE3.CR3 Emplear herramientas tecnológicas adecuadas en la investigación y comprobación de conjeturas o problemas.;3.MAT.CE3.CR3;3.MAT.CE3.CR3 Emplear herramientas tecnológicas adecuadas en la investigación y comprobación de conjeturas o problemas.;Nivel de logro;NI,EP,C,R,E;
3.MAT.CE3.CR2 Plantear variantes de un problema dado modificando alguno de sus datos o alguna condición del problema;3.MAT.CE3.CR2;3.MAT.CE3.CR2 Plantear variantes de un problema dado modificando alguno de sus datos o alguna condición del problema;Nivel de logro;NI,EP,C,R,E;
3.MAT.CE7.CR2 Elaborar representaciones matemáticas que ayuden en la búsqueda de estrategias de resolución de una situación problematizada.;3.MAT.CE7.CR2;3.MAT.CE7.CR2 Elaborar representaciones matemáticas que ayuden en la búsqueda de estrategias de resolución de una situación problematizada.;Nivel de logro;NI,EP,C,R,E;
3.MAT.CE7.CR1 Interpretar y representar conceptos, información y resultados matemáticos de modos distintos y con diferentes herramientas, incluidas las digitales, visualizando ideas y valorando su utilidad para compartir inf;3.MAT.CE7.CR1;3.MAT.CE7.CR1 Interpretar y representar conceptos, información y resultados matemáticos de modos distintos y con diferentes herramientas, incluidas las digitales, visualizando ideas y valorando su utilidad para compartir información.;Nivel de logro;NI,EP,C,R,E;
