outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
3.REL.CE1.CR1 Reconocer los rasgos esenciales de la antropología cristiana, relacionándolos con los derechos fundamentales y la defensa de la dignidad humana, verificándolos en situaciones globales;3.REL.CE1.CR1;3.REL.CE1.CR1 Reconocer los rasgos esenciales de la antropología cristiana, relacionándolos con los derechos fundamentales y la defensa de la dignidad humana, verificándolos en situaciones globales;Nivel de logro;NI,EP,C,R,E;
3.REL.CE1.CR2 Formular un proyecto personal de vida con sentido que responda a valores de cuidado propio, de los demás y de la naturaleza, respetando los de los otros, tomando como referencia a Jesucristo, siendo capaz de mo;3.REL.CE1.CR2;3.REL.CE1.CR2 Formular un proyecto personal de vida con sentido que responda a valores de cuidado propio, de los demás y de la naturaleza, respetando los de los otros, tomando como referencia a Jesucristo, siendo capaz de modular estas opciones en situaciones vitales complejas;Nivel de logro;NI,EP,C,R,E;
3.REL.CE2.CR1 Asumir valores y actitudes de cuidado personal, de los otros, de la naturaleza y de los espacios comunes, favoreciendo actitudes de respeto, gratuidad, reconciliación, inclusión social y sostenibilidad;3.REL.CE2.CR1;3.REL.CE2.CR1 Asumir valores y actitudes de cuidado personal, de los otros, de la naturaleza y de los espacios comunes, favoreciendo actitudes de respeto, gratuidad, reconciliación, inclusión social y sostenibilidad;Nivel de logro;NI,EP,C,R,E;
3.REL.CE2.CR2 Cooperar a la construcción de sociedades justas y democráticas, fortaleciendo vínculos  sociales  e  intergeneracionales,  y  las  relaciones  en  modelos  de interdependencia, analizando la realidad, teniendo ;3.REL.CE2.CR2;3.REL.CE2.CR2 Cooperar a la construcción de sociedades justas y democráticas, fortaleciendo vínculos  sociales  e  intergeneracionales,  y  las  relaciones  en  modelos  de interdependencia, analizando la realidad, teniendo en cuenta los principios y valores del magisterio social de la Iglesia y promoviendo el desarrollo humano integral;Nivel de logro;NI,EP,C,R,E;
3.REL.CE3.CR1 Cooperar activamente en proyectos de cuidado y responsabilidad hacia el bien común, inspirados en la perspectiva cristiana, participando en acciones de mejora del entorno y en el planteamiento de las opciones p;3.REL.CE3.CR1;3.REL.CE3.CR1 Cooperar activamente en proyectos de cuidado y responsabilidad hacia el bien común, inspirados en la perspectiva cristiana, participando en acciones de mejora del entorno y en el planteamiento de las opciones profesionales;Nivel de logro;NI,EP,C,R,E;
3.REL.CE3.CR2 Contribuir  a  la  fraternidad  universal,  contrastando  críticamente  el  paradigma científico tecnológico vigente y las narrativas de progreso, con la antropología, la moral y la escatología cristiana, respo;3.REL.CE3.CR2;3.REL.CE3.CR2 Contribuir  a  la  fraternidad  universal,  contrastando  críticamente  el  paradigma científico tecnológico vigente y las narrativas de progreso, con la antropología, la moral y la escatología cristiana, respondiendo con sensibilidad e implicación a situaciones de empobrecimiento y vulnerabilidad;Nivel de logro;NI,EP,C,R,E;
3.REL.CE4.CR1 Participar críticamente en la promoción de la diversidad cultural, expresando y aportando  creativamente  las  experiencias  propias,  respetando  las  diferencias  entre personas y comunidades;3.REL.CE4.CR1;3.REL.CE4.CR1 Participar críticamente en la promoción de la diversidad cultural, expresando y aportando  creativamente  las  experiencias  propias,  respetando  las  diferencias  entre personas y comunidades;Nivel de logro;NI,EP,C,R,E;
3.REL.CE4.CR2 Desarrollar  sentido  de  pertenencia  a  una  tradición  cultural,  con  expresiones sociales, artísticas, éticas y estéticas, valorando adecuadamente su contribución en su momento histórico, relacionándolas c;3.REL.CE4.CR2;3.REL.CE4.CR2 Desarrollar  sentido  de  pertenencia  a  una  tradición  cultural,  con  expresiones sociales, artísticas, éticas y estéticas, valorando adecuadamente su contribución en su momento histórico, relacionándolas con contextos actuales y promoviendo su memoria como legado vivo;Nivel de logro;NI,EP,C,R,E;
3.REL.CE5.CR1 Formular  posibles  respuestas  a  las  preguntas  de  sentido,  conociendo  y valorando  las  aportaciones  de  las  tradiciones  religiosas,  en  especial  la  propuesta  de sentido de la vida de Jesucristo, ;3.REL.CE5.CR1;3.REL.CE5.CR1 Formular  posibles  respuestas  a  las  preguntas  de  sentido,  conociendo  y valorando  las  aportaciones  de  las  tradiciones  religiosas,  en  especial  la  propuesta  de sentido de la vida de Jesucristo, elaborando sus propias respuestas partiendo de un análisis crítico y la adaptación a su situación personal.;Nivel de logro;NI,EP,C,R,E;
3.REL.CE5.CR2 Favorecer la convivencia social en contextos plurales, respetando las opciones personales y generando espacios de diálogo y encuentro;3.REL.CE5.CR2;3.REL.CE5.CR2 Favorecer la convivencia social en contextos plurales, respetando las opciones personales y generando espacios de diálogo y encuentro;Nivel de logro;NI,EP,C,R,E;
3.REL.CE6.CR1 Reconocer  la  Iglesia,  comunidad  de  los  discípulos  de  Jesucristo,  y  su compromiso en la amistad social como núcleos esenciales del cristianismo, valorando críticamente su contribución cultural e histór;3.REL.CE6.CR1;3.REL.CE6.CR1 Reconocer  la  Iglesia,  comunidad  de  los  discípulos  de  Jesucristo,  y  su compromiso en la amistad social como núcleos esenciales del cristianismo, valorando críticamente su contribución cultural e histórica;Nivel de logro;NI,EP,C,R,E;
3.REL.CE6.CR2 Poner en diálogo el saber religioso con otras disciplinas, tradiciones culturales, paradigmas  científicos  y  tecnológicos  y  otras  cosmovisiones,  teniendo  en  cuenta  los métodos propios de cada disciplin;3.REL.CE6.CR2;3.REL.CE6.CR2 Poner en diálogo el saber religioso con otras disciplinas, tradiciones culturales, paradigmas  científicos  y  tecnológicos  y  otras  cosmovisiones,  teniendo  en  cuenta  los métodos propios de cada disciplina y respetando la pluralidad;Nivel de logro;NI,EP,C,R,E;
