outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
3.TECD.CE1.CR1 Definir problemas o necesidades planteadas, buscando y contrastando información procedente de diferentes fuentes de manera crítica, evaluando su fiabilidad y pertinencia.;3.TECD.CE1.CR1;3.TECD.CE1.CR1 Definir problemas o necesidades planteadas, buscando y contrastando información procedente de diferentes fuentes de manera crítica, evaluando su fiabilidad y pertinencia.;Nivel de logro;NI,EP,C,R,E;
3.TECD.CE1.CR2 Comprender y examinar productos tecnológicos de uso habitual a través del análisis de objetos y sistemas, empleando el método científico y utilizando herramientas de simulación en la construcción de conocimient;3.TECD.CE1.CR2;3.TECD.CE1.CR2 Comprender y examinar productos tecnológicos de uso habitual a través del análisis de objetos y sistemas, empleando el método científico y utilizando herramientas de simulación en la construcción de conocimiento.;Nivel de logro;NI,EP,C,R,E;
3.TECD.CE1.CR3 Adoptar medidas preventivas para la protección de los dispositivos, los datos y la salud personal, identificando problemas y riesgos relacionados con el uso de la tecnología y analizándolos de manera ética y cr;3.TECD.CE1.CR3;3.TECD.CE1.CR3 Adoptar medidas preventivas para la protección de los dispositivos, los datos y la salud personal, identificando problemas y riesgos relacionados con el uso de la tecnología y analizándolos de manera ética y crítica.;Nivel de logro;NI,EP,C,R,E;
3.TECD.CE2.CR1 Idear y diseñar soluciones eficaces, innovadoras y sostenibles a problemas definidos, aplicando conceptos, técnicas y procedimientos interdisciplinares, así como criterios de sostenibilidad, con actitud emprend;3.TECD.CE2.CR1;3.TECD.CE2.CR1 Idear y diseñar soluciones eficaces, innovadoras y sostenibles a problemas definidos, aplicando conceptos, técnicas y procedimientos interdisciplinares, así como criterios de sostenibilidad, con actitud emprendedora, perseverante y creativa.;Nivel de logro;NI,EP,C,R,E;
3.TECD.CE2.CR2 Seleccionar, planificar y organizar los materiales y herramientas, así como las tareas necesarias para la construcción de una solución a un problema planteado, trabajando individualmente o en grupo de manera co;3.TECD.CE2.CR2;3.TECD.CE2.CR2 Seleccionar, planificar y organizar los materiales y herramientas, así como las tareas necesarias para la construcción de una solución a un problema planteado, trabajando individualmente o en grupo de manera cooperativa y colaborativa.;Nivel de logro;NI,EP,C,R,E;
3.TECD.CE3.CR1 Fabricar objetos o modelos mediante la manipulación y conformación de materiales, empleando herramientas y máquinas adecuadas, aplicando los fundamentos de estructuras, mecanismos, electricidad y electrónica y ;3.TECD.CE3.CR1;3.TECD.CE3.CR1 Fabricar objetos o modelos mediante la manipulación y conformación de materiales, empleando herramientas y máquinas adecuadas, aplicando los fundamentos de estructuras, mecanismos, electricidad y electrónica y respetando las normas de seguridad y salud correspondientes.;Nivel de logro;NI,EP,C,R,E;
3.TECD.CE3.CR2 Construir o seleccionar operadores y componentes tecnológicos, analizando su funcionamiento y haciendo uso de estos en el diseño de soluciones tecnológicas, partiendo de los conocimientos adquiridos de estructu;3.TECD.CE3.CR2;3.TECD.CE3.CR2 Construir o seleccionar operadores y componentes tecnológicos, analizando su funcionamiento y haciendo uso de estos en el diseño de soluciones tecnológicas, partiendo de los conocimientos adquiridos de estructuras, mecanismos, electricidad y electrónica.;Nivel de logro;NI,EP,C,R,E;
3.TECD.CE4.CR1 Representar y comunicar el proceso de creación de un producto desde su diseño hasta su difusión, elaborando documentación técnica y gráfica con la ayuda de herramientas digitales, empleando los formatos y el vo;3.TECD.CE4.CR1;3.TECD.CE4.CR1 Representar y comunicar el proceso de creación de un producto desde su diseño hasta su difusión, elaborando documentación técnica y gráfica con la ayuda de herramientas digitales, empleando los formatos y el vocabulario técnico adecuados, de manera colaborativa, tanto presencialmente como en remoto.;Nivel de logro;NI,EP,C,R,E;
3.TECD.CE5.CR1 Describir, interpretar y diseñar soluciones a problemas informáticos a través de algoritmos y diagramas de flujo, aplicando los elementos y técnicas de programación de manera creativa.;3.TECD.CE5.CR1;3.TECD.CE5.CR1 Describir, interpretar y diseñar soluciones a problemas informáticos a través de algoritmos y diagramas de flujo, aplicando los elementos y técnicas de programación de manera creativa.;Nivel de logro;NI,EP,C,R,E;
3.TECD.CE5.CR2 Programar aplicaciones sencillas para distintos dispositivos (ordenadores, dispositivos móviles y otros) empleando los elementos de programación de manera apropiada y aplicando herramientas de edición, así como;3.TECD.CE5.CR2;3.TECD.CE5.CR2 Programar aplicaciones sencillas para distintos dispositivos (ordenadores, dispositivos móviles y otros) empleando los elementos de programación de manera apropiada y aplicando herramientas de edición, así como módulos de inteligencia artificial que añadan funcionalidades a la solución.;Nivel de logro;NI,EP,C,R,E;
3.TECD.CE5.CR3 Automatizar procesos, máquinas y objetos de manera autónoma, con conexión a internet, mediante el análisis, construcción y programación de robots y sistemas de control.;3.TECD.CE5.CR3;3.TECD.CE5.CR3 Automatizar procesos, máquinas y objetos de manera autónoma, con conexión a internet, mediante el análisis, construcción y programación de robots y sistemas de control.;Nivel de logro;NI,EP,C,R,E;
3.TECD.CE6.CR1 Usar de manera eficiente y segura los dispositivos digitales de uso cotidiano en la resolución de problemas sencillos que en ellos se pudieran producir, analizando los componentes y los sistemas de comunicación;3.TECD.CE6.CR1;3.TECD.CE6.CR1 Usar de manera eficiente y segura los dispositivos digitales de uso cotidiano en la resolución de problemas sencillos que en ellos se pudieran producir, analizando los componentes y los sistemas de comunicación, conociendo los riesgos y adoptando medidas de seguridad para la protección de datos y equipos.;Nivel de logro;NI,EP,C,R,E;
3.TECD.CE6.CR2 Crear contenidos, elaborar materiales y difundirlos en distintas plataformas, configurando correctamente las herramientas digitales habituales del entorno de aprendizaje, ajustándolas a sus necesidades y respet;3.TECD.CE6.CR2;3.TECD.CE6.CR2 Crear contenidos, elaborar materiales y difundirlos en distintas plataformas, configurando correctamente las herramientas digitales habituales del entorno de aprendizaje, ajustándolas a sus necesidades y respetando los derechos de autor y la etiqueta digital.;Nivel de logro;NI,EP,C,R,E;
3.TECD.CE6.CR3 Organizar la información de manera estructurada, aplicando técnicas de almacenamiento seguro.;3.TECD.CE6.CR3;3.TECD.CE6.CR3 Organizar la información de manera estructurada, aplicando técnicas de almacenamiento seguro.;Nivel de logro;NI,EP,C,R,E;
3.TECD.CE7.CR1 Reconocer la influencia de la actividad tecnológica en la sociedad y en la sostenibilidad ambiental a lo largo de su historia, identificando sus portaciones y repercusiones y valorando su importancia para el de;3.TECD.CE7.CR1;3.TECD.CE7.CR1 Reconocer la influencia de la actividad tecnológica en la sociedad y en la sostenibilidad ambiental a lo largo de su historia, identificando sus portaciones y repercusiones y valorando su importancia para el desarrollo sostenible.;Nivel de logro;NI,EP,C,R,E;
3.TECD.CE7.CR2 Identificar las aportaciones de las tecnologías emergentes al bienestar, a la igualdad social y a la disminución del impacto ambiental, haciendo un uso responsable y ético de dichas tecnologías.;3.TECD.CE7.CR2;3.TECD.CE7.CR2 Identificar las aportaciones de las tecnologías emergentes al bienestar, a la igualdad social y a la disminución del impacto ambiental, haciendo un uso responsable y ético de dichas tecnologías.;Nivel de logro;NI,EP,C,R,E;
