outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
4.ACT.CE1.CR1 Explicar los fenómenos naturales más relevantes en términos de teorías, leyes y principios científicos adecuados, como estrategia en la toma de decisiones fundamentadas.;4.ACT.CE1.CR1;4.ACT.CE1.CR1 Explicar los fenómenos naturales más relevantes en términos de teorías, leyes y principios científicos adecuados, como estrategia en la toma de decisiones fundamentadas.;Nivel de logro;NI,EP,C,R,E;
4.ACT.CE1.CR2 Justificar la contribución de la ciencia a la sociedad y la labor de los hombres y mujeres dedicados a su desarrollo, entendiendo la investigación como una labor colectiva en constante evolución, fruto de la in;4.ACT.CE1.CR2;4.ACT.CE1.CR2 Justificar la contribución de la ciencia a la sociedad y la labor de los hombres y mujeres dedicados a su desarrollo, entendiendo la investigación como una labor colectiva en constante evolución, fruto de la interacción entre la ciencia, la tecnología, la sociedad y el medio ambiente.;Nivel de logro;NI,EP,C,R,E;
4.ACT.CE2.CR1 Elaborar representaciones que ayuden en la búsqueda de estrategias de resolución de una situación problematizada, organizando los datos y comprendiendo las preguntas formuladas.;4.ACT.CE2.CR1;4.ACT.CE2.CR1 Elaborar representaciones que ayuden en la búsqueda de estrategias de resolución de una situación problematizada, organizando los datos y comprendiendo las preguntas formuladas.;Nivel de logro;NI,EP,C,R,E;
4.ACT.CE2.CR2 Hallar las soluciones de un problema, utilizando los datos e información aportados, los propios conocimientos, además de las estrategias y herramientas apropiadas.;4.ACT.CE2.CR2;4.ACT.CE2.CR2 Hallar las soluciones de un problema, utilizando los datos e información aportados, los propios conocimientos, además de las estrategias y herramientas apropiadas.;Nivel de logro;NI,EP,C,R,E;
4.ACT.CE2.CR3 Comprobar la corrección de las soluciones de un problema, así como su coherencia e interpretación en el contexto planteado.;4.ACT.CE2.CR3;4.ACT.CE2.CR3 Comprobar la corrección de las soluciones de un problema, así como su coherencia e interpretación en el contexto planteado.;Nivel de logro;NI,EP,C,R,E;
4.ACT.CE2.CR4 Emplear herramientas tecnológicas adecuadas en la representación, la resolución de problemas y la comprobación de las soluciones.;4.ACT.CE2.CR4;4.ACT.CE2.CR4 Emplear herramientas tecnológicas adecuadas en la representación, la resolución de problemas y la comprobación de las soluciones.;Nivel de logro;NI,EP,C,R,E;
4.ACT.CE3.CR1 Plantear preguntas e hipótesis que puedan ser respondidas o contrastadas mediante los métodos científicos, la observación, la información y el razonamiento, explicando fenómenos naturales y realizando prediccio;4.ACT.CE3.CR1;4.ACT.CE3.CR1 Plantear preguntas e hipótesis que puedan ser respondidas o contrastadas mediante los métodos científicos, la observación, la información y el razonamiento, explicando fenómenos naturales y realizando predicciones sobre estos.;Nivel de logro;NI,EP,C,R,E;
4.ACT.CE3.CR2 Diseñar y realizar experimentos y obtener datos cuantitativos y cualitativos sobre fenómenos naturales, en el medio natural y en el laboratorio, utilizando con corrección los instrumentos, herramientas o técnic;4.ACT.CE3.CR2;4.ACT.CE3.CR2 Diseñar y realizar experimentos y obtener datos cuantitativos y cualitativos sobre fenómenos naturales, en el medio natural y en el laboratorio, utilizando con corrección los instrumentos, herramientas o técnicas adecuadas, a la hora de obtener resultados claros, que respondan a cuestiones concretas o que contrasten la veracidad de una hipótesis.;Nivel de logro;NI,EP,C,R,E;
4.ACT.CE3.CR3 Interpretar los resultados obtenidos en proyectos de investigación, utilizando el razonamiento y, cuando sea necesario, herramientas matemáticas y tecnológicas.;4.ACT.CE3.CR3;4.ACT.CE3.CR3 Interpretar los resultados obtenidos en proyectos de investigación, utilizando el razonamiento y, cuando sea necesario, herramientas matemáticas y tecnológicas.;Nivel de logro;NI,EP,C,R,E;
4.ACT.CE4.CR1 Evaluar los efectos de determinadas acciones individuales sobre el organismo y el medio natural, proponiendo hábitos saludables y sostenibles basados en los conocimientos adquiridos y la información disponible.;4.ACT.CE4.CR1;4.ACT.CE4.CR1 Evaluar los efectos de determinadas acciones individuales sobre el organismo y el medio natural, proponiendo hábitos saludables y sostenibles basados en los conocimientos adquiridos y la información disponible.;Nivel de logro;NI,EP,C,R,E;
4.ACT.CE4.CR2 Relacionar, con fundamentos científicos, la preservación de la biodiversidad, la conservación del medio ambiente y la protección de los seres vivos del entorno con el desarrollo sostenible y la calidad de vida.;4.ACT.CE4.CR2;4.ACT.CE4.CR2 Relacionar, con fundamentos científicos, la preservación de la biodiversidad, la conservación del medio ambiente y la protección de los seres vivos del entorno con el desarrollo sostenible y la calidad de vida.;Nivel de logro;NI,EP,C,R,E;
4.ACT.CE5.CR1 Organizar y comunicar información científica y matemática, de forma clara y rigurosa, de manera verbal, gráfica, numérica, etc., utilizando el formato más adecuado.;4.ACT.CE5.CR1;4.ACT.CE5.CR1 Organizar y comunicar información científica y matemática, de forma clara y rigurosa, de manera verbal, gráfica, numérica, etc., utilizando el formato más adecuado.;Nivel de logro;NI,EP,C,R,E;
