outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
4.AED.CE1.CR1 Identificar los elementos y técnicas más importantes de los principales géneros escénicos y dancísticos, a través de diferentes soportes audiovisuales, comprendiendo el papel que ejercen en el resultado final.;4.AED.CE1.CR1;4.AED.CE1.CR1 Identificar los elementos y técnicas más importantes de los principales géneros escénicos y dancísticos, a través de diferentes soportes audiovisuales, comprendiendo el papel que ejercen en el resultado final.;Nivel de logro;NI,EP,C,R,E;
4.AED.CE1.CR2 Reconocer la importancia de las diferentes manifestaciones escénicas y dancísticas, potenciando el interés por su conservación y difusión, debido a su aporte al patrimonio cultural.;4.AED.CE1.CR2;4.AED.CE1.CR2 Reconocer la importancia de las diferentes manifestaciones escénicas y dancísticas, potenciando el interés por su conservación y difusión, debido a su aporte al patrimonio cultural.;Nivel de logro;NI,EP,C,R,E;
4.AED.CE1.CR3 Valorar el enriquecimiento personal y colectivo que supone el folclore en sus diferentes manifestaciones artísticas, a través de la búsqueda de la propia identidad cultural.;4.AED.CE1.CR3;4.AED.CE1.CR3 Valorar el enriquecimiento personal y colectivo que supone el folclore en sus diferentes manifestaciones artísticas, a través de la búsqueda de la propia identidad cultural.;Nivel de logro;NI,EP,C,R,E;
4.AED.CE2.CR1 Identificar las características básicas más importantes de los principales géneros escénicos, dancísticos y del folclore, a través de la recepción activa, analizando su vínculo con la estética del periodo en el;4.AED.CE2.CR1;4.AED.CE2.CR1 Identificar las características básicas más importantes de los principales géneros escénicos, dancísticos y del folclore, a través de la recepción activa, analizando su vínculo con la estética del periodo en el que fueron creadas.;Nivel de logro;NI,EP,C,R,E;
4.AED.CE2.CR2 Reflexionar, de forma abierta y respetuosa, sobre las funciones sociales que cada manifestación escénica, dancística o del folclore ejercen en la actualidad, investigando su implicación en la transformación y c;4.AED.CE2.CR2;4.AED.CE2.CR2 Reflexionar, de forma abierta y respetuosa, sobre las funciones sociales que cada manifestación escénica, dancística o del folclore ejercen en la actualidad, investigando su implicación en la transformación y cambio social.;Nivel de logro;NI,EP,C,R,E;
4.AED.CE3.CR1 Relacionar la interpretación e improvisación de cualquier manifestación escénica, de danza o de folclore, con la expresión de sentimientos y emociones, reforzando las técnicas comunicativas y de control de emoc;4.AED.CE3.CR1;4.AED.CE3.CR1 Relacionar la interpretación e improvisación de cualquier manifestación escénica, de danza o de folclore, con la expresión de sentimientos y emociones, reforzando las técnicas comunicativas y de control de emociones.;Nivel de logro;NI,EP,C,R,E;
4.AED.CE3.CR2 Tomar conciencia de los beneficios que, para la salud y bienestar personal, así como para la cohesión del grupo, tiene participar en las propuestas de trabajo interpretativo o de improvisación, experimentando l;4.AED.CE3.CR2;4.AED.CE3.CR2 Tomar conciencia de los beneficios que, para la salud y bienestar personal, así como para la cohesión del grupo, tiene participar en las propuestas de trabajo interpretativo o de improvisación, experimentando la empatía y los principios del trabajo colaborativo.;Nivel de logro;NI,EP,C,R,E;
4.AED.CE4.CR1 Utilizar, de forma autónoma y solvente, los propios recursos y los del entorno, para mejorar la creatividad y expresión interpretativa en los ejercicios, favoreciendo el desarrollo de la autoestima y confianza ;4.AED.CE4.CR1;4.AED.CE4.CR1 Utilizar, de forma autónoma y solvente, los propios recursos y los del entorno, para mejorar la creatividad y expresión interpretativa en los ejercicios, favoreciendo el desarrollo de la autoestima y confianza en uno mismo.;Nivel de logro;NI,EP,C,R,E;
4.AED.CE5.CR1 Colaborar en el proceso de planificación, organización y desarrollo de una representación de artes escénicas, de danza y del folclore, adoptando distintas funciones, con responsabilidad y actitud de disfrute.;4.AED.CE5.CR1;4.AED.CE5.CR1 Colaborar en el proceso de planificación, organización y desarrollo de una representación de artes escénicas, de danza y del folclore, adoptando distintas funciones, con responsabilidad y actitud de disfrute.;Nivel de logro;NI,EP,C,R,E;
4.AED.CE5.CR2 Integrar la crítica y opinión del público que asiste a la representación, analizando los comentarios para incorporarlos a las propuestas de mejora.;4.AED.CE5.CR2;4.AED.CE5.CR2 Integrar la crítica y opinión del público que asiste a la representación, analizando los comentarios para incorporarlos a las propuestas de mejora.;Nivel de logro;NI,EP,C,R,E;
4.AED.CE5.CR3 Manejar los diferentes recursos, herramientas digitales y técnicas requeridas en la puesta en escena, buscando la máxima calidad e innovación.;4.AED.CE5.CR3;4.AED.CE5.CR3 Manejar los diferentes recursos, herramientas digitales y técnicas requeridas en la puesta en escena, buscando la máxima calidad e innovación.;Nivel de logro;NI,EP,C,R,E;
