outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
4.ALE.CE1.CR1 Extraer, analizar, identificar y relacionar el sentido global y las ideas principales, y seleccionar información pertinente y específica de textos orales, escritos y multimodales sobre temas cotidianos y predec;4.ALE.CE1.CR1;4.ALE.CE1.CR1 Extraer, analizar, identificar y relacionar el sentido global y las ideas principales, y seleccionar información pertinente y específica de textos orales, escritos y multimodales sobre temas cotidianos y predecibles, de relevancia personal o de interés público próximos a la experiencia del alumnado, expresados de forma clara y en la lengua estándar a través de diversos soportes.;Nivel de logro;NI,EP,C,R,E;
4.ALE.CE1.CR2 Comprender, interpretar y valorar el contenido y los rasgos discursivos de textos progresivamente más complejos propios de los ámbitos de las relaciones interpersonales, de los medios de comunicación social y d;4.ALE.CE1.CR2;4.ALE.CE1.CR2 Comprender, interpretar y valorar el contenido y los rasgos discursivos de textos progresivamente más complejos propios de los ámbitos de las relaciones interpersonales, de los medios de comunicación social y del aprendizaje, así como de textos literarios adecuados al nivel de madurez del alumnado.;Nivel de logro;NI,EP,C,R,E;
4.ALE.CE1.CR3 Seleccionar, organizar y aplicar las estrategias y conocimientos más adecuados en cada situación comunicativa para comprender el sentido general, la información esencial y los detalles más relevantes de los tex;4.ALE.CE1.CR3;"4.ALE.CE1.CR3 Seleccionar, organizar y aplicar las estrategias y conocimientos más adecuados en cada situación comunicativa para comprender el sentido general, la información esencial y los detalles más relevantes de los textos; deducir e inferir significados e interpretar elementos no verbales; y buscar, seleccionar y gestionar información veraz.";Nivel de logro;NI,EP,C,R,E;
4.ALE.CE2.CR1 Expresar oralmente textos sencillos, estructurados, comprensibles, coherentes y adecuados a la situación comunicativa sobre asuntos cotidianos, de relevancia personal o de interés público próximo a la experienc;4.ALE.CE2.CR1;4.ALE.CE2.CR1 Expresar oralmente textos sencillos, estructurados, comprensibles, coherentes y adecuados a la situación comunicativa sobre asuntos cotidianos, de relevancia personal o de interés público próximo a la experiencia del alumnado, con el fin de describir, narrar, argumentar, comparar e informar, en diferentes soportes, utilizando recursos verbales y no verbales, así como estrategias de planificación (recordar y ensayar conjunto apropiado de frases de su repertorio), compensación (identificar lo solicitado mediante gestos o señalando) y cooperación.;Nivel de logro;NI,EP,C,R,E;
4.ALE.CE2.CR2 Redactar y difundir textos de extensión media con aceptable claridad, coherencia, cohesión, corrección y adecuación a la situación comunicativa propuesta, a la tipología textual y a las herramientas analógicas ;4.ALE.CE2.CR2;4.ALE.CE2.CR2 Redactar y difundir textos de extensión media con aceptable claridad, coherencia, cohesión, corrección y adecuación a la situación comunicativa propuesta, a la tipología textual y a las herramientas analógicas y digitales utilizadas sobre asuntos cotidianos, de relevancia personal o de interés público próximos a la experiencia del alumnado, respetando la propiedad intelectual y evitando el plagio.;Nivel de logro;NI,EP,C,R,E;
4.ALE.CE2.CR3 Seleccionar, organizar y aplicar conocimientos y estrategias para planificar, producir, revisar y cooperar en la elaboración de textos coherentes, cohesionados y adecuados a las intenciones comunicativas, las c;4.ALE.CE2.CR3;4.ALE.CE2.CR3 Seleccionar, organizar y aplicar conocimientos y estrategias para planificar, producir, revisar y cooperar en la elaboración de textos coherentes, cohesionados y adecuados a las intenciones comunicativas, las características contextuales, los aspectos socioculturales y la tipología textual, usando los recursos físicos o digitales más adecuados en función de la tarea y de las necesidades del interlocutor o interlocutora potencial a quien se dirige el texto.;Nivel de logro;NI,EP,C,R,E;
4.ALE.CE3.CR2 Seleccionar, organizar y utilizar estrategias adecuadas para iniciar, mantener y terminar la comunicación, tomar y ceder la palabra, solicitar y formular aclaraciones y explicaciones, reformular, comparar y con;4.ALE.CE3.CR2;4.ALE.CE3.CR2 Seleccionar, organizar y utilizar estrategias adecuadas para iniciar, mantener y terminar la comunicación, tomar y ceder la palabra, solicitar y formular aclaraciones y explicaciones, reformular, comparar y contrastar, resumir, colaborar, debatir, cooperar, resolver problemas y gestionar situaciones comprometidas.;Nivel de logro;NI,EP,C,R,E;
4.ALE.CE3.CR1 Planificar, participar y colaborar activamente, a través de diversos soportes, en situaciones interactivas en las que se desenvuelve con solvencia sobre temas cotidianos, de relevancia personal o de interés púb;4.ALE.CE3.CR1;4.ALE.CE3.CR1 Planificar, participar y colaborar activamente, a través de diversos soportes, en situaciones interactivas en las que se desenvuelve con solvencia sobre temas cotidianos, de relevancia personal o de interés público cercanos a la experiencia del alumnado, mostrando iniciativa, empatía, discrepancias y coincidencias y respeto por la cortesía lingüística y la etiqueta digital, así como por las diferentes necesidades, ideas, inquietudes, iniciativas y motivaciones de los interlocutores e interlocutoras.;Nivel de logro;NI,EP,C,R,E;
4.ALE.CE4.CR1 Inferir y explicar textos, transmitir conceptos y comunicaciones breves y sencillas en situaciones en las que se atienda a la diversidad, mostrando respeto y empatía por los interlocutores e interlocutoras y po;4.ALE.CE4.CR1;4.ALE.CE4.CR1 Inferir y explicar textos, transmitir conceptos y comunicaciones breves y sencillas en situaciones en las que se atienda a la diversidad, mostrando respeto y empatía por los interlocutores e interlocutoras y por las lenguas empleadas y participando en la solución de problemas de intercomprensión y de entendimiento en el entorno, apoyándose en diversos recursos y soportes.;Nivel de logro;NI,EP,C,R,E;
4.ALE.CE4.CR2 Aplicar estrategias que ayuden a crear puentes, faciliten la comunicación y sirvan para explicar y simplificar textos, conceptos y mensajes, y que sean adecuadas a las intenciones comunicativas, las característ;4.ALE.CE4.CR2;4.ALE.CE4.CR2 Aplicar estrategias que ayuden a crear puentes, faciliten la comunicación y sirvan para explicar y simplificar textos, conceptos y mensajes, y que sean adecuadas a las intenciones comunicativas, las características contextuales y la tipología textual, usando recursos y apoyos físicos o digitales en función de las necesidades de cada momento.;Nivel de logro;NI,EP,C,R,E;
