outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
4.ALS.CE1.CR1 Analizar e interpretar el entorno desde una perspectiva sistémica e integradora, a través de conceptos y procedimientos geográficos, identificando sus principales elementos y las interrelaciones existentes, val;4.ALS.CE1.CR1;4.ALS.CE1.CR1 Analizar e interpretar el entorno desde una perspectiva sistémica e integradora, a través de conceptos y procedimientos geográficos, identificando sus principales elementos y las interrelaciones existentes, valorando el grado de sostenibilidad y equilibrio de los espacios, a partir de actitudes de defensa, protección, conservación y mejora del entorno tanto natural como rural y urbano.;Nivel de logro;NI,EP,C,R,E;
4.ALS.CE1.CR2 Relacionar las culturas y civilizaciones desarrolladas a lo largo de la historia con las distintas identidades colectivas que se han construido hasta la actualidad, explicando y valorando la realidad multicultu;4.ALS.CE1.CR2;4.ALS.CE1.CR2 Relacionar las culturas y civilizaciones desarrolladas a lo largo de la historia con las distintas identidades colectivas que se han construido hasta la actualidad, explicando y valorando la realidad multicultural generada a lo largo del tiempo y analizando las situaciones y los problemas del presente.;Nivel de logro;NI,EP,C,R,E;
4.ALS.CE1.CR3 Valorar, proteger y conservar el patrimonio histórico-artístico, cultural y natural, como fundamento de nuestra identidad colectiva y como recurso esencial para el disfrute y el desarrollo de los pueblos, reali;4.ALS.CE1.CR3;4.ALS.CE1.CR3 Valorar, proteger y conservar el patrimonio histórico-artístico, cultural y natural, como fundamento de nuestra identidad colectiva y como recurso esencial para el disfrute y el desarrollo de los pueblos, realizando propuestas que contribuyan a su conservación y a un desarrollo ecosocial sostenible.;Nivel de logro;NI,EP,C,R,E;
4.ALS.CE2.CR1 Explicar el proceso de unificación del espacio europeo y su relevancia en la construcción de la sociedad española, analizando su evolución y argumentando su influencia en la política nacional.;4.ALS.CE2.CR1;4.ALS.CE2.CR1 Explicar el proceso de unificación del espacio europeo y su relevancia en la construcción de la sociedad española, analizando su evolución y argumentando su influencia en la política nacional.;Nivel de logro;NI,EP,C,R,E;
4.ALS.CE2.CR2 Identificar y valorar las principales instituciones europeas, analizando sus principios rectores, sus normas de funcionamiento y sus funciones, juzgando su papel en los conflictos internacionales y reconociendo;4.ALS.CE2.CR2;4.ALS.CE2.CR2 Identificar y valorar las principales instituciones europeas, analizando sus principios rectores, sus normas de funcionamiento y sus funciones, juzgando su papel en los conflictos internacionales y reconociendo su contribución a la paz, a la cooperación internacional, al desarrollo sostenible, a la lucha contra el cambio el climático y a la ciudadanía global.;Nivel de logro;NI,EP,C,R,E;
4.ALS.CE2.CR3 Interpretar, desde la perspectiva del desarrollo sostenible y la ciudadanía global, los principales desafíos del mundo actual, expresando la importancia de implicarse en la búsqueda de soluciones y en el modo d;4.ALS.CE2.CR3;4.ALS.CE2.CR3 Interpretar, desde la perspectiva del desarrollo sostenible y la ciudadanía global, los principales desafíos del mundo actual, expresando la importancia de implicarse en la búsqueda de soluciones y en el modo de concretarlas desde la propia capacidad de acción, valorando la contribución de programas y misiones, dirigidos tanto por los Estados, como por los organismos internacionales y las asociaciones civiles, para el logro de la paz, la seguridad integral, la convivencia social y la cooperación entre los pueblos.;Nivel de logro;NI,EP,C,R,E;
4.ALS.CE3.CR1 Identificar y analizar los principios, valores, deberes y derechos fundamentales tanto de la Constitución española como del sistema democrático, sus instituciones y organizaciones sociales, políticas y económic;4.ALS.CE3.CR1;4.ALS.CE3.CR1 Identificar y analizar los principios, valores, deberes y derechos fundamentales tanto de la Constitución española como del sistema democrático, sus instituciones y organizaciones sociales, políticas y económicas, explicando su función como mecanismos que regulan la convivencia y la vida en comunidad.;Nivel de logro;NI,EP,C,R,E;
4.ALS.CE3.CR2 Reconocer y explicar los mecanismos que han regulado la convivencia y la vida en común, a lo largo de la historia, desde el origen de la sociedad hasta las distintas civilizaciones que se han ido sucediendo, se;4.ALS.CE3.CR2;4.ALS.CE3.CR2 Reconocer y explicar los mecanismos que han regulado la convivencia y la vida en común, a lo largo de la historia, desde el origen de la sociedad hasta las distintas civilizaciones que se han ido sucediendo, señalando los principales modelos de organización social y política gestados en el proceso.;Nivel de logro;NI,EP,C,R,E;
4.ALS.CE3.CR3 Adecuar el comportamiento propio al cumplimiento de los principios, valores, derechos y deberes democráticos y constitucionales, identificando los motivos y argumentos que sustentan su validez y rechazando todo;4.ALS.CE3.CR3;4.ALS.CE3.CR3 Adecuar el comportamiento propio al cumplimiento de los principios, valores, derechos y deberes democráticos y constitucionales, identificando los motivos y argumentos que sustentan su validez y rechazando todo tipo de discriminación, especialmente aquella que se da por motivos socio-económicos, de género, orientación sexual o pertenencia a minorías etnoculturales.;Nivel de logro;NI,EP,C,R,E;
4.ALS.CE4.CR1 Aplicar estrategias, tanto analógicas como digitales, de búsqueda, selección y organización de información, evaluando su fiabilidad y su pertinencia, en función del objetivo perseguido y evitando los riesgos ta;4.ALS.CE4.CR1;4.ALS.CE4.CR1 Aplicar estrategias, tanto analógicas como digitales, de búsqueda, selección y organización de información, evaluando su fiabilidad y su pertinencia, en función del objetivo perseguido y evitando los riesgos tanto de manipulación como de desinformación.;Nivel de logro;NI,EP,C,R,E;
4.ALS.CE4.CR2 Elaborar contenidos propios, a partir de diferentes fuentes, de manera progresivamente autónoma, aplicando las convenciones básicas establecidas para su presentación, respetando los principios de propiedad inte;4.ALS.CE4.CR2;4.ALS.CE4.CR2 Elaborar contenidos propios, a partir de diferentes fuentes, de manera progresivamente autónoma, aplicando las convenciones básicas establecidas para su presentación, respetando los principios de propiedad intelectual y citando las fuentes consultadas.;Nivel de logro;NI,EP,C,R,E;
4.ALS.CE5.CR1 Comprender e interpretar el sentido global, la estructura, la información más relevante en función de las necesidades comunicativas y la intención del emisor, en textos orales, escritos y multimodales de difere;4.ALS.CE5.CR1;4.ALS.CE5.CR1 Comprender e interpretar el sentido global, la estructura, la información más relevante en función de las necesidades comunicativas y la intención del emisor, en textos orales, escritos y multimodales de diferentes ámbitos, evaluando su calidad, su fiabilidad y la idoneidad del canal utilizado.;Nivel de logro;NI,EP,C,R,E;
4.ALS.CE5.CR2 Realizar exposiciones orales, con fluidez, coherencia y el registro adecuado, con diferente grado de planificación, sobre temas de interés personal, ecosocial y profesional, ajustándose a las convenciones propi;4.ALS.CE5.CR2;4.ALS.CE5.CR2 Realizar exposiciones orales, con fluidez, coherencia y el registro adecuado, con diferente grado de planificación, sobre temas de interés personal, ecosocial y profesional, ajustándose a las convenciones propias de los diversos géneros discursivos, en diferentes soportes y utilizando, de manera eficaz, recursos verbales y no verbales.;Nivel de logro;NI,EP,C,R,E;
"4.ALS.CE5.CR3 Planificar la redacción de textos escritos y multimodales, tanto literarios como no literarios, atendiendo a la situación comunicativa, destinatario, propósito y canal; redactar borradores y revisarlos; present";4.ALS.CE5.CR3;"4.ALS.CE5.CR3 Planificar la redacción de textos escritos y multimodales, tanto literarios como no literarios, atendiendo a la situación comunicativa, destinatario, propósito y canal; redactar borradores y revisarlos; presentar un texto final coherente, cohesionado y con el registro adecuado, con precisión léxica, además de con corrección ortográfica y gramatical.";Nivel de logro;NI,EP,C,R,E;
4.ALS.CE5.CR4 Participar, de manera activa y adecuada, en interacciones orales informales, en el trabajo en equipo y en situaciones orales formales de carácter dialogado, con actitudes de escucha activa, estrategias de coope;4.ALS.CE5.CR4;4.ALS.CE5.CR4 Participar, de manera activa y adecuada, en interacciones orales informales, en el trabajo en equipo y en situaciones orales formales de carácter dialogado, con actitudes de escucha activa, estrategias de cooperación conversacional y cortesía lingüística.;Nivel de logro;NI,EP,C,R,E;
4.ALS.CE5.CR5 Utilizar el conocimiento explícito de la lengua, además de un metalenguaje específico, en la interacción comunicativa oral y escrita, facilitando la producción y la comprensión de distintos formatos de texto.;4.ALS.CE5.CR5;4.ALS.CE5.CR5 Utilizar el conocimiento explícito de la lengua, además de un metalenguaje específico, en la interacción comunicativa oral y escrita, facilitando la producción y la comprensión de distintos formatos de texto.;Nivel de logro;NI,EP,C,R,E;
4.ALS.CE6.CR1 Leer, de manera autónoma, textos seleccionados en función de los propios gustos, intereses y necesidades, dejando constancia del progreso del propio itinerario lector y cultural, explicando, además, los criteri;4.ALS.CE6.CR1;4.ALS.CE6.CR1 Leer, de manera autónoma, textos seleccionados en función de los propios gustos, intereses y necesidades, dejando constancia del progreso del propio itinerario lector y cultural, explicando, además, los criterios de selección de las lecturas.;Nivel de logro;NI,EP,C,R,E;
4.ALS.CE6.CR2 Compartir la experiencia de la lectura literaria, en soportes diversos, relacionando el texto leído con otras manifestaciones artísticas, en función de los valores éticos y estéticos, temas, lenguaje y estructu;4.ALS.CE6.CR2;4.ALS.CE6.CR2 Compartir la experiencia de la lectura literaria, en soportes diversos, relacionando el texto leído con otras manifestaciones artísticas, en función de los valores éticos y estéticos, temas, lenguaje y estructuras.;Nivel de logro;NI,EP,C,R,E;
4.ALS.CE6.CR3 Leer, de forma guiada, obras y fragmentos relevantes de la literatura juvenil contemporánea y del patrimonio literario universal, inscritas en itinerarios temáticos o de género, que incluyan la presencia de aut;4.ALS.CE6.CR3;4.ALS.CE6.CR3 Leer, de forma guiada, obras y fragmentos relevantes de la literatura juvenil contemporánea y del patrimonio literario universal, inscritas en itinerarios temáticos o de género, que incluyan la presencia de autoras y autores, interpretándolas como fuente de placer, conocimiento e igualdad.;Nivel de logro;NI,EP,C,R,E;
4.ALS.CE6.CR4 Recitar y dramatizar textos, individualmente o en grupo, modulando la voz, potenciando la expresividad verbal y no verbal, atendiendo a los procesos de comprensión, apropiación y oralización implicados.;4.ALS.CE6.CR4;4.ALS.CE6.CR4 Recitar y dramatizar textos, individualmente o en grupo, modulando la voz, potenciando la expresividad verbal y no verbal, atendiendo a los procesos de comprensión, apropiación y oralización implicados.;Nivel de logro;NI,EP,C,R,E;
4.ALS.CE7.CR1 Interpretar tanto el sentido global como la información específica y explícita de textos orales, escritos y multimodales, breves y sencillos, sobre temas frecuentes y cotidianos, expresados de forma clara y en ;4.ALS.CE7.CR1;4.ALS.CE7.CR1 Interpretar tanto el sentido global como la información específica y explícita de textos orales, escritos y multimodales, breves y sencillos, sobre temas frecuentes y cotidianos, expresados de forma clara y en el registro estándar de la lengua extranjera.;Nivel de logro;NI,EP,C,R,E;
4.ALS.CE7.CR2 Producir, en lengua extranjera, textos orales, escritos y multimodales, breves, sencillos, estructurados, comprensibles y adecuados a la situación comunicativa, siguiendo las pautas establecidas y haciendo uso ;4.ALS.CE7.CR2;4.ALS.CE7.CR2 Producir, en lengua extranjera, textos orales, escritos y multimodales, breves, sencillos, estructurados, comprensibles y adecuados a la situación comunicativa, siguiendo las pautas establecidas y haciendo uso tanto de herramientas como de recursos analógicos y digitales.;Nivel de logro;NI,EP,C,R,E;
4.ALS.CE7.CR3 Participar en situaciones y acciones guiadas, breves, sencillas, tanto síncronas como asíncronas, en lengua extranjera, sobre temas cotidianos, mostrando empatía y respeto por la cortesía lingüística y la etiqu;4.ALS.CE7.CR3;4.ALS.CE7.CR3 Participar en situaciones y acciones guiadas, breves, sencillas, tanto síncronas como asíncronas, en lengua extranjera, sobre temas cotidianos, mostrando empatía y respeto por la cortesía lingüística y la etiqueta digital, así como por las diferentes necesidades, ideas, inquietudes, iniciativas y motivaciones de interlocutores e interlocutoras.;Nivel de logro;NI,EP,C,R,E;
4.ALS.CE7.CR4 Utilizar, de forma guiada y en entornos personales, estrategias adecuadas para iniciar, mantener y terminar la comunicación, tomar y ceder la palabra, solicitar y formular aclaraciones además de explicaciones, ;4.ALS.CE7.CR4;4.ALS.CE7.CR4 Utilizar, de forma guiada y en entornos personales, estrategias adecuadas para iniciar, mantener y terminar la comunicación, tomar y ceder la palabra, solicitar y formular aclaraciones además de explicaciones, en lengua extranjera.;Nivel de logro;NI,EP,C,R,E;
4.ALS.CE8.CR1 Mejorar la capacidad de comunicarse en lengua extranjera, utilizando los conocimientos y estrategias del repertorio lingüístico y cultural propio, con el apoyo del resto de los participantes y de soportes tanto;4.ALS.CE8.CR1;4.ALS.CE8.CR1 Mejorar la capacidad de comunicarse en lengua extranjera, utilizando los conocimientos y estrategias del repertorio lingüístico y cultural propio, con el apoyo del resto de los participantes y de soportes tanto analógicos como digitales.;Nivel de logro;NI,EP,C,R,E;
4.ALS.CE8.CR2 Aceptar y valorar la diversidad lingüística y cultural como fuente de enriquecimiento personal, atendiendo tanto a variedades dialectales como a lenguas habladas dentro y fuera del ámbito nacional e identifican;4.ALS.CE8.CR2;4.ALS.CE8.CR2 Aceptar y valorar la diversidad lingüística y cultural como fuente de enriquecimiento personal, atendiendo tanto a variedades dialectales como a lenguas habladas dentro y fuera del ámbito nacional e identificando los elementos culturales y lingüísticos que fomentan el respeto, la sostenibilidad y la democracia.;Nivel de logro;NI,EP,C,R,E;
