outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
4.CCI.CE1.CR1 Analizar conceptos y procesos de las ciencias, interpretando información en diferentes formatos (modelos, gráficos, tablas, diagramas, fórmulas, esquemas, símbolos o páginas web, entre otros) manteniendo una ac;4.CCI.CE1.CR1;4.CCI.CE1.CR1 Analizar conceptos y procesos de las ciencias, interpretando información en diferentes formatos (modelos, gráficos, tablas, diagramas, fórmulas, esquemas, símbolos o páginas web, entre otros) manteniendo una actitud crítica, obteniendo conclusiones y formando opiniones propias fundamentadas.;Nivel de logro;NI,EP,C,R,E;
4.CCI.CE1.CR2 Facilitar la comprensión y el análisis, tanto de opiniones propias fundamentadas como de informaciones científicas, transmitiéndolas de forma clara y rigurosa, mediante la terminología y el formato adecuados (m;4.CCI.CE1.CR2;4.CCI.CE1.CR2 Facilitar la comprensión y el análisis, tanto de opiniones propias fundamentadas como de informaciones científicas, transmitiéndolas de forma clara y rigurosa, mediante la terminología y el formato adecuados (modelos, gráficos, tablas, vídeos, informes, diagramas, fórmulas, esquemas, símbolos y contenidos digitales, entre otros).;Nivel de logro;NI,EP,C,R,E;
4.CCI.CE1.CR3 Analizar y explicar fenómenos científicos, representándolos mediante el diseño y la realización de modelos y diagramas, utilizando, cuando sea necesario, los pasos del diseño de ingeniería: identificación del p;4.CCI.CE1.CR3;4.CCI.CE1.CR3 Analizar y explicar fenómenos científicos, representándolos mediante el diseño y la realización de modelos y diagramas, utilizando, cuando sea necesario, los pasos del diseño de ingeniería: identificación del problema, exploración, diseño, creación, evaluación y mejora.;Nivel de logro;NI,EP,C,R,E;
4.CCI.CE2.CR1 Resolver cuestiones y profundizar en aspectos científicos, localizando, seleccionando, organizando y analizando críticamente la información de distintas fuentes, citándolas con el debido respeto por la propieda;4.CCI.CE2.CR1;4.CCI.CE2.CR1 Resolver cuestiones y profundizar en aspectos científicos, localizando, seleccionando, organizando y analizando críticamente la información de distintas fuentes, citándolas con el debido respeto por la propiedad intelectual.;Nivel de logro;NI,EP,C,R,E;
4.CCI.CE2.CR2 Contrastar la veracidad de la información disponible, utilizando fuentes fiables, adoptando una actitud crítica y escéptica hacia informaciones sin una base científica, como pseudociencias, teorías conspiratori;4.CCI.CE2.CR2;4.CCI.CE2.CR2 Contrastar la veracidad de la información disponible, utilizando fuentes fiables, adoptando una actitud crítica y escéptica hacia informaciones sin una base científica, como pseudociencias, teorías conspiratorias, creencias infundadas y bulos, entre otras.;Nivel de logro;NI,EP,C,R,E;
4.CCI.CE3.CR1 Plantear preguntas e hipótesis sobre fenómenos científicos que puedan ser respondidas o contrastadas y realizar predicciones sobre ellos, utilizando métodos científicos.;4.CCI.CE3.CR1;4.CCI.CE3.CR1 Plantear preguntas e hipótesis sobre fenómenos científicos que puedan ser respondidas o contrastadas y realizar predicciones sobre ellos, utilizando métodos científicos.;Nivel de logro;NI,EP,C,R,E;
4.CCI.CE3.CR2 Diseñar, realizar experimentos e interpretar los resultados obtenidos en un proyecto de investigación, utilizando herramientas matemáticas y tecnológicas cuando sea necesario.;4.CCI.CE3.CR2;4.CCI.CE3.CR2 Diseñar, realizar experimentos e interpretar los resultados obtenidos en un proyecto de investigación, utilizando herramientas matemáticas y tecnológicas cuando sea necesario.;Nivel de logro;NI,EP,C,R,E;
4.CCI.CE3.CR3 Establecer colaboraciones, que se consideren necesarias y eficaces, en las distintas fases del proyecto científico, valorando la importancia del trabajo cooperativo en la investigación, respetando la diversidad;4.CCI.CE3.CR3;4.CCI.CE3.CR3 Establecer colaboraciones, que se consideren necesarias y eficaces, en las distintas fases del proyecto científico, valorando la importancia del trabajo cooperativo en la investigación, respetando la diversidad, la igualdad de género y favoreciendo la inclusión.;Nivel de logro;NI,EP,C,R,E;
4.CCI.CE3.CR4 Presentar, de forma clara y rigurosa, la información y las conclusiones obtenidas mediante la experimentación y observación de campo, utilizando el formato adecuado (tablas, gráficos, informes, entre otros) y h;4.CCI.CE3.CR4;4.CCI.CE3.CR4 Presentar, de forma clara y rigurosa, la información y las conclusiones obtenidas mediante la experimentación y observación de campo, utilizando el formato adecuado (tablas, gráficos, informes, entre otros) y herramientas digitales.;Nivel de logro;NI,EP,C,R,E;
4.CCI.CE3.CR5 Valorar tanto la contribución que realiza la ciencia a la sociedad, como la labor de las personas dedicadas a ella, especialmente en Castilla-La Mancha, destacando, además, el papel de la mujer, y entendiendo l;4.CCI.CE3.CR5;4.CCI.CE3.CR5 Valorar tanto la contribución que realiza la ciencia a la sociedad, como la labor de las personas dedicadas a ella, especialmente en Castilla-La Mancha, destacando, además, el papel de la mujer, y entendiendo la investigación científica como una labor colectiva e interdisciplinar en constante evolución, que se ve condicionada por el contexto político y por los recursos económicos que se le dedican.;Nivel de logro;NI,EP,C,R,E;
4.CCI.CE4.CR1 Resolver problemas o explicar procesos científicos, utilizando conocimientos, datos e informaciones aportados, junto con el razonamiento lógico, el pensamiento computacional o recursos digitales.;4.CCI.CE4.CR1;4.CCI.CE4.CR1 Resolver problemas o explicar procesos científicos, utilizando conocimientos, datos e informaciones aportados, junto con el razonamiento lógico, el pensamiento computacional o recursos digitales.;Nivel de logro;NI,EP,C,R,E;
4.CCI.CE4.CR2 Analizar críticamente la solución de problemas sobre fenómenos científicos, prestando especial atención a los que afectan a nuestro entorno de Castilla-La Mancha, cambiando los procedimientos utilizados o las c;4.CCI.CE4.CR2;4.CCI.CE4.CR2 Analizar críticamente la solución de problemas sobre fenómenos científicos, prestando especial atención a los que afectan a nuestro entorno de Castilla-La Mancha, cambiando los procedimientos utilizados o las conclusiones extraídas, si dicha solución no fuese viable o se considerase necesario modificarla ante nuevos datos aportados con posterioridad.;Nivel de logro;NI,EP,C,R,E;
4.CCI.CE5.CR1 Identificar los posibles riesgos naturales (pérdidas de biodiversidad, alteraciones del suelo, y fenómenos meteorológicos extremos, entre otros) potenciados por determinadas acciones humanas sobre una zona geog;4.CCI.CE5.CR1;4.CCI.CE5.CR1 Identificar los posibles riesgos naturales (pérdidas de biodiversidad, alteraciones del suelo, y fenómenos meteorológicos extremos, entre otros) potenciados por determinadas acciones humanas sobre una zona geográfica, especialmente los que puedan afectar a Castilla-La Mancha, teniendo en cuenta sus características litológicas, relieve y vegetación.;Nivel de logro;NI,EP,C,R,E;
4.CCI.CE5.CR2 Conocer los elementos y el funcionamiento básico del sistema inmunitario humano y su aplicación en la prevención y el tratamiento de las enfermedades infecciosas y no infecciosas más frecuentes, identificando a;4.CCI.CE5.CR2;4.CCI.CE5.CR2 Conocer los elementos y el funcionamiento básico del sistema inmunitario humano y su aplicación en la prevención y el tratamiento de las enfermedades infecciosas y no infecciosas más frecuentes, identificando algunos de sus indicadores, causas y tratamientos más comunes.;Nivel de logro;NI,EP,C,R,E;
4.CCI.CE5.CR3 Proponer y adoptar, hábitos saludables, analizando las acciones propias y ajenas, como pueden ser: la alimentación, la inclusión no discriminatoria, el descanso, la exposición a las pantallas, entre otras, con ;4.CCI.CE5.CR3;4.CCI.CE5.CR3 Proponer y adoptar, hábitos saludables, analizando las acciones propias y ajenas, como pueden ser: la alimentación, la inclusión no discriminatoria, el descanso, la exposición a las pantallas, entre otras, con actitud crítica, desterrando ideas preconcebidas, estereotipos sexistas y basándose en fundamentos de la fisiología.;Nivel de logro;NI,EP,C,R,E;
