outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
4.CLAOP.CE1.CR1 Conocer las características fundamentales de la cultura grecolatina, relacionando los datos con los referentes actuales.;4.CLAOP.CE1.CR1;4.CLAOP.CE1.CR1 Conocer las características fundamentales de la cultura grecolatina, relacionando los datos con los referentes actuales.;Nivel de logro;NI,EP,C,R,E;
4.CLAOP.CE1.CR2  Reconocer los aspectos más relevantes de las civilizaciones griega y romana, analizando la importancia del legado clásico en la construcción del mundo moderno.;4.CLAOP.CE1.CR2;4.CLAOP.CE1.CR2  Reconocer los aspectos más relevantes de las civilizaciones griega y romana, analizando la importancia del legado clásico en la construcción del mundo moderno.;Nivel de logro;NI,EP,C,R,E;
4.CLAOP.CE1.CR3  Comprender la información más relevante de la civilización clásica, expresada a través de mapas y fuentes escritas, haciendo uso de los medios analógicos y digitales.;4.CLAOP.CE1.CR3;4.CLAOP.CE1.CR3  Comprender la información más relevante de la civilización clásica, expresada a través de mapas y fuentes escritas, haciendo uso de los medios analógicos y digitales.;Nivel de logro;NI,EP,C,R,E;
4.CLAOP.CE2.CR1 Explicar, de manera guiada, la relación de las lenguas clásicas con las lenguas modernas, analizando los elementos lingüísticos comunes de origen grecolatino y utilizando estrategias y conocimientos tanto de la;4.CLAOP.CE2.CR1;4.CLAOP.CE2.CR1 Explicar, de manera guiada, la relación de las lenguas clásicas con las lenguas modernas, analizando los elementos lingüísticos comunes de origen grecolatino y utilizando estrategias y conocimientos tanto de las lenguas como de los lenguajes que conforman el repertorio del alumnado.;Nivel de logro;NI,EP,C,R,E;
4.CLAOP.CE2.CR2  Inferir significados de términos grecolatinos, aplicando los conocimientos léxicos y fonéticos de otras lenguas de su repertorio individual.;4.CLAOP.CE2.CR2;4.CLAOP.CE2.CR2  Inferir significados de términos grecolatinos, aplicando los conocimientos léxicos y fonéticos de otras lenguas de su repertorio individual.;Nivel de logro;NI,EP,C,R,E;
4.CLAOP.CE2.CR3  Producir definiciones etimológicas de términos cotidianos, científicos y técnicos, reconociendo los elementos grecolatinos en diferentes contextos lingüísticos y estableciendo relaciones semánticas.;4.CLAOP.CE2.CR3;4.CLAOP.CE2.CR3  Producir definiciones etimológicas de términos cotidianos, científicos y técnicos, reconociendo los elementos grecolatinos en diferentes contextos lingüísticos y estableciendo relaciones semánticas.;Nivel de logro;NI,EP,C,R,E;
4.CLAOP.CE2.CR4  Ampliar el caudal léxico y mejorar la expresión oral y escrita, incorporando términos de origen griego y latino, de manera coherente.;4.CLAOP.CE2.CR4 ;4.CLAOP.CE2.CR4  Ampliar el caudal léxico y mejorar la expresión oral y escrita, incorporando términos de origen griego y latino, de manera coherente.;Nivel de logro;NI,EP,C,R,E;
4.CLAOP.CE3.CR1 Explicar los elementos de la civilización grecolatina relacionados con la mitología clásica, identificándolos como fuente de inspiración de manifestaciones artísticas.;4.CLAOP.CE3.CR1;4.CLAOP.CE3.CR1 Explicar los elementos de la civilización grecolatina relacionados con la mitología clásica, identificándolos como fuente de inspiración de manifestaciones artísticas.;Nivel de logro;NI,EP,C,R,E;
4.CLAOP.CE3.CR2 Reconocer la pervivencia de la mitología en diversos aspectos de las artes y las ciencias, conociendo a la vez los principales mitos asociados a los dioses, diosas, héroes y heroínas.;4.CLAOP.CE3.CR2;4.CLAOP.CE3.CR2 Reconocer la pervivencia de la mitología en diversos aspectos de las artes y las ciencias, conociendo a la vez los principales mitos asociados a los dioses, diosas, héroes y heroínas.;Nivel de logro;NI,EP,C,R,E;
4.CLAOP.CE4.CR1 Reconocer las huellas del mundo clásico en el patrimonio artístico, cultural y arqueológico del entorno, identificando los procesos de preservación, conservación y restauración como un aspecto fundamental de un;4.CLAOP.CE4.CR1;4.CLAOP.CE4.CR1 Reconocer las huellas del mundo clásico en el patrimonio artístico, cultural y arqueológico del entorno, identificando los procesos de preservación, conservación y restauración como un aspecto fundamental de una ciudadanía comprometida con la sostenibilidad ambiental y el cuidado de su legado.;Nivel de logro;NI,EP,C,R,E;
4.CLAOP.CE4.CR2 Conocer los yacimientos arqueológicos más importantes de Castilla-La Mancha, reflexionando sobre la importancia de su conservación y participando en procesos encaminados a ello.;4.CLAOP.CE4.CR2;4.CLAOP.CE4.CR2 Conocer los yacimientos arqueológicos más importantes de Castilla-La Mancha, reflexionando sobre la importancia de su conservación y participando en procesos encaminados a ello.;Nivel de logro;NI,EP,C,R,E;
4.CLAOP.CE4.CR3 Reflexionar sobre la pervivencia de tópicos y temas de la mitología grecolatina en la literatura, comparando entre géneros y corrientes literarias de diferentes épocas.;4.CLAOP.CE4.CR3;4.CLAOP.CE4.CR3 Reflexionar sobre la pervivencia de tópicos y temas de la mitología grecolatina en la literatura, comparando entre géneros y corrientes literarias de diferentes épocas.;Nivel de logro;NI,EP,C,R,E;
4.CLAOP.CE5.CR1 Exponer, de forma oral, escrita o multimodal, las conclusiones obtenidas a partir de la investigación, individual o colectiva, del legado material e inmaterial de la civilización clásica y su pervivencia en el ;4.CLAOP.CE5.CR1;4.CLAOP.CE5.CR1 Exponer, de forma oral, escrita o multimodal, las conclusiones obtenidas a partir de la investigación, individual o colectiva, del legado material e inmaterial de la civilización clásica y su pervivencia en el presente, a través de soportes analógicos y digitales, seleccionando información, contrastándola y organizándola, a partir de criterios de validez, calidad y fiabilidad.;Nivel de logro;NI,EP,C,R,E;
4.CLAOP.CE5.CR2 Conocer la aportación de Grecia y Roma, valorando su importancia para el desarrollo tecnológico en la actividad cotidiana.;4.CLAOP.CE5.CR2;4.CLAOP.CE5.CR2 Conocer la aportación de Grecia y Roma, valorando su importancia para el desarrollo tecnológico en la actividad cotidiana.;Nivel de logro;NI,EP,C,R,E;
