outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
4.DIGIT.CE1.CR1  Conectar dispositivos y gestionar redes locales aplicando los conocimientos y procesos asociados a sistemas de comunicación alámbrica e inalámbrica con una actitud proactiva.;4.DIGIT.CE1.CR1;4.DIGIT.CE1.CR1  Conectar dispositivos y gestionar redes locales aplicando los conocimientos y procesos asociados a sistemas de comunicación alámbrica e inalámbrica con una actitud proactiva.;Nivel de logro;NI,EP,C,R,E;
4.DIGIT.CE1.CR2  Instalar y mantener sistemas operativos configurando sus características en función de sus necesidades personales.;4.DIGIT.CE1.CR2;4.DIGIT.CE1.CR2  Instalar y mantener sistemas operativos configurando sus características en función de sus necesidades personales.;Nivel de logro;NI,EP,C,R,E;
4.DIGIT.CE1.CR3  Identificar y resolver problemas técnicos sencillos analizando componentes y funciones de los dispositivos digitales, evaluando las soluciones de manera crítica y reformulando el procedimiento, en caso necesar;4.DIGIT.CE1.CR3;4.DIGIT.CE1.CR3  Identificar y resolver problemas técnicos sencillos analizando componentes y funciones de los dispositivos digitales, evaluando las soluciones de manera crítica y reformulando el procedimiento, en caso necesario.;Nivel de logro;NI,EP,C,R,E;
4.DIGIT.CE1.CR4  Instalar y eliminar software de propósito general, conociendo los diferentes niveles de privilegios que ofrece el sistema operativo a los usuarios y valorando la idoneidad del mismo.;4.DIGIT.CE1.CR4;4.DIGIT.CE1.CR4  Instalar y eliminar software de propósito general, conociendo los diferentes niveles de privilegios que ofrece el sistema operativo a los usuarios y valorando la idoneidad del mismo.;Nivel de logro;NI,EP,C,R,E;
4.DIGIT.CE2.CR1  Gestionar el aprendizaje en el ámbito digital, configurando el entorno personal de aprendizaje mediante la integración de recursos digitales de manera autónoma.;4.DIGIT.CE2.CR1;4.DIGIT.CE2.CR1  Gestionar el aprendizaje en el ámbito digital, configurando el entorno personal de aprendizaje mediante la integración de recursos digitales de manera autónoma.;Nivel de logro;NI,EP,C,R,E;
4.DIGIT.CE2.CR2 . Buscar, seleccionar y archivar información en función de sus necesidades haciendo uso de las herramientas del entorno personal de aprendizaje con sentido crítico y siguiendo normas básicas de seguridad en la ;4.DIGIT.CE2.CR2;4.DIGIT.CE2.CR2 . Buscar, seleccionar y archivar información en función de sus necesidades haciendo uso de las herramientas del entorno personal de aprendizaje con sentido crítico y siguiendo normas básicas de seguridad en la red.;Nivel de logro;NI,EP,C,R,E;
4.DIGIT.CE2.CR3  Crear, programar, integrar y reelaborar contenidos digitales de forma individual o colectiva, seleccionando las herramientas más apropiadas para generar nuevo conocimiento y contenidos digitales de manera creat;4.DIGIT.CE2.CR3 ;4.DIGIT.CE2.CR3  Crear, programar, integrar y reelaborar contenidos digitales de forma individual o colectiva, seleccionando las herramientas más apropiadas para generar nuevo conocimiento y contenidos digitales de manera creativa, respetando los derechos de autor y licencias de uso.;Nivel de logro;NI,EP,C,R,E;
4.DIGIT.CE2.CR4  Interactuar en espacios virtuales de comunicación y plataformas de aprendizaje colaborativo, compartiendo y publicando información y datos, adaptándose a diferentes audiencias con una actitud participativa y r;4.DIGIT.CE2.CR4;4.DIGIT.CE2.CR4  Interactuar en espacios virtuales de comunicación y plataformas de aprendizaje colaborativo, compartiendo y publicando información y datos, adaptándose a diferentes audiencias con una actitud participativa y respetuosa.;Nivel de logro;NI,EP,C,R,E;
4.DIGIT.CE3.CR1  Proteger los datos personales y la huella digital generada en internet, configurando las condiciones de privacidad de las redes sociales y espacios virtuales de trabajo.;4.DIGIT.CE3.CR1;4.DIGIT.CE3.CR1  Proteger los datos personales y la huella digital generada en internet, configurando las condiciones de privacidad de las redes sociales y espacios virtuales de trabajo.;Nivel de logro;NI,EP,C,R,E;
4.DIGIT.CE3.CR2  Configurar y actualizar contraseñas, sistemas operativos y antivirus de forma periódica en los distintos dispositivos digitales de uso habitual.;4.DIGIT.CE3.CR2;4.DIGIT.CE3.CR2  Configurar y actualizar contraseñas, sistemas operativos y antivirus de forma periódica en los distintos dispositivos digitales de uso habitual.;Nivel de logro;NI,EP,C,R,E;
