outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
4.ECEM.CE1.CR1 Adaptarse a entornos complejos y crear un proyecto personal original y generador de valor, partiendo de la valoración crítica sobre las propias aptitudes y las posibilidades creativas, haciendo hincapié en las ;4.ECEM.CE1.CR1;4.ECEM.CE1.CR1 Adaptarse a entornos complejos y crear un proyecto personal original y generador de valor, partiendo de la valoración crítica sobre las propias aptitudes y las posibilidades creativas, haciendo hincapié en las fortalezas y debilidades y logrando progresivamente el control consciente de las emociones.;Nivel de logro;NI,EP,C,R,E;
4.ECEM.CE1.CR2 Utilizar estrategias de análisis razonado de las fortalezas y debilidades personales y de la iniciativa y creatividad propia y de los demás.;4.ECEM.CE1.CR2;4.ECEM.CE1.CR2 Utilizar estrategias de análisis razonado de las fortalezas y debilidades personales y de la iniciativa y creatividad propia y de los demás.;Nivel de logro;NI,EP,C,R,E;
4.ECEM.CE1.CR3 Gestionar de forma eficaz las emociones y destrezas personales, promoviendo y desarrollando actitudes creativas.;4.ECEM.CE1.CR3;4.ECEM.CE1.CR3 Gestionar de forma eficaz las emociones y destrezas personales, promoviendo y desarrollando actitudes creativas.;Nivel de logro;NI,EP,C,R,E;
4.ECEM.CE2.CR1 Constituir equipos de trabajo basados en principios de equidad, coeducación e igualdad entre hombres y mujeres, actitud participativa y visualización de metas comunes, utilizando estrategias que faciliten la id;4.ECEM.CE2.CR1;4.ECEM.CE2.CR1 Constituir equipos de trabajo basados en principios de equidad, coeducación e igualdad entre hombres y mujeres, actitud participativa y visualización de metas comunes, utilizando estrategias que faciliten la identificación y optimización de los recursos humanos necesarios que conduzcan a la consecución del reto propuesto.;Nivel de logro;NI,EP,C,R,E;
4.ECEM.CE2.CR2 Poner en práctica habilidades sociales, de comunicación abierta, de motivación, de liderazgo y de cooperación e innovación ágil tanto de manera presencial como a distancia en distintos contextos de trabajo en e;4.ECEM.CE2.CR2;4.ECEM.CE2.CR2 Poner en práctica habilidades sociales, de comunicación abierta, de motivación, de liderazgo y de cooperación e innovación ágil tanto de manera presencial como a distancia en distintos contextos de trabajo en equipo.;Nivel de logro;NI,EP,C,R,E;
4.ECEM.CE2.CR3 Valorar y respetar las aportaciones de los demás en las distintas dinámicas de trabajo y fases del proceso llevado a cabo, respetando las decisiones tomadas de forma colectiva.;4.ECEM.CE2.CR3;4.ECEM.CE2.CR3 Valorar y respetar las aportaciones de los demás en las distintas dinámicas de trabajo y fases del proceso llevado a cabo, respetando las decisiones tomadas de forma colectiva.;Nivel de logro;NI,EP,C,R,E;
4.ECEM.CE3.CR1 Preservar y cuidar el medio natural, social, cultural y artístico a partir de propuestas y actuaciones locales y globales que promuevan el desarrollo sostenible con visión creativa, emprendedora y comprometida.;4.ECEM.CE3.CR1;4.ECEM.CE3.CR1 Preservar y cuidar el medio natural, social, cultural y artístico a partir de propuestas y actuaciones locales y globales que promuevan el desarrollo sostenible con visión creativa, emprendedora y comprometida.;Nivel de logro;NI,EP,C,R,E;
4.ECEM.CE3.CR2 Superar los retos propuestos a partir de ideas y soluciones innovadoras y sostenibles, evaluando sus ventajas e inconvenientes, así como el impacto que pudieran generar a nivel personal y en el contexto al que ;4.ECEM.CE3.CR2;4.ECEM.CE3.CR2 Superar los retos propuestos a partir de ideas y soluciones innovadoras y sostenibles, evaluando sus ventajas e inconvenientes, así como el impacto que pudieran generar a nivel personal y en el contexto al que van dirigidas.;Nivel de logro;NI,EP,C,R,E;
4.ECEM.CE3.CR3 Aplicar metodologías ágiles siguiendo los criterios y pautas establecidos en el proceso de construcción de ideas creativas y sostenibles que faciliten la superación de los retos planteados y la obtención de sol;4.ECEM.CE3.CR3;4.ECEM.CE3.CR3 Aplicar metodologías ágiles siguiendo los criterios y pautas establecidos en el proceso de construcción de ideas creativas y sostenibles que faciliten la superación de los retos planteados y la obtención de soluciones a las necesidades detectadas con sentido ético y solidario.;Nivel de logro;NI,EP,C,R,E;
4.ECEM.CE4.CR1 Poner en marcha un proyecto que lleve a la realidad una solución emprendedora, seleccionando y reuniendo los recursos materiales, inmateriales y digitales disponibles en el proceso de ideación creativa.;4.ECEM.CE4.CR1;4.ECEM.CE4.CR1 Poner en marcha un proyecto que lleve a la realidad una solución emprendedora, seleccionando y reuniendo los recursos materiales, inmateriales y digitales disponibles en el proceso de ideación creativa.;Nivel de logro;NI,EP,C,R,E;
4.ECEM.CE4.CR2 Utilizar con autonomía estrategias de captación y gestión de recursos conociendo sus características y aplicándolas al proceso de conversión de las ideas y soluciones en acciones.;4.ECEM.CE4.CR2;4.ECEM.CE4.CR2 Utilizar con autonomía estrategias de captación y gestión de recursos conociendo sus características y aplicándolas al proceso de conversión de las ideas y soluciones en acciones.;Nivel de logro;NI,EP,C,R,E;
4.ECEM.CE4.CR3 Reunir, analizar y seleccionar con criterios propios los recursos disponibles, planificando con coherencia su organización, distribución, uso y optimización.;4.ECEM.CE4.CR3;4.ECEM.CE4.CR3 Reunir, analizar y seleccionar con criterios propios los recursos disponibles, planificando con coherencia su organización, distribución, uso y optimización.;Nivel de logro;NI,EP,C,R,E;
4.ECEM.CE4.CR4 Conocer los programas públicos, regionales y locales, de fomento de la figura emprendedora, tomando contacto con las entidades responsables.;4.ECEM.CE4.CR4;4.ECEM.CE4.CR4 Conocer los programas públicos, regionales y locales, de fomento de la figura emprendedora, tomando contacto con las entidades responsables.;Nivel de logro;NI,EP,C,R,E;
4.ECEM.CE5.CR1 Validar las ideas y soluciones presentadas mediante mensajes convincentes y adecuados al contexto y a objetivos concretos, utilizando estrategias comunicativas ágiles adecuadas a cada situación comunicativa.;4.ECEM.CE5.CR1;4.ECEM.CE5.CR1 Validar las ideas y soluciones presentadas mediante mensajes convincentes y adecuados al contexto y a objetivos concretos, utilizando estrategias comunicativas ágiles adecuadas a cada situación comunicativa.;Nivel de logro;NI,EP,C,R,E;
4.ECEM.CE5.CR2 Presentar y exponer con claridad y coherencia las ideas y soluciones creativas, valorando la importancia de mantener una comunicación eficaz y respetuosa a lo largo de todo el proceso.;4.ECEM.CE5.CR2;4.ECEM.CE5.CR2 Presentar y exponer con claridad y coherencia las ideas y soluciones creativas, valorando la importancia de mantener una comunicación eficaz y respetuosa a lo largo de todo el proceso.;Nivel de logro;NI,EP,C,R,E;
4.ECEM.CE6.CR1 Desarrollar una idea o solución emprendedora a partir de los conocimientos, destrezas y actitudes adquiridos desde el ámbito de la economía y las finanzas, viendo la relación entre estos y los recursos necesari;4.ECEM.CE6.CR1;4.ECEM.CE6.CR1 Desarrollar una idea o solución emprendedora a partir de los conocimientos, destrezas y actitudes adquiridos desde el ámbito de la economía y las finanzas, viendo la relación entre estos y los recursos necesarios y disponibles que permiten su desarrollo.;Nivel de logro;NI,EP,C,R,E;
4.ECEM.CE6.CR2 Conocer de manera amplia y comprender con precisión los conocimientos, destrezas y actitudes necesarios del ámbito económico y financiero, teniendo en cuenta la singularidad de nuestra comunidad autónoma, aplic;4.ECEM.CE6.CR2;4.ECEM.CE6.CR2 Conocer de manera amplia y comprender con precisión los conocimientos, destrezas y actitudes necesarios del ámbito económico y financiero, teniendo en cuenta la singularidad de nuestra comunidad autónoma, aplicándolos con coherencia a situaciones, actividades o proyectos concretos.;Nivel de logro;NI,EP,C,R,E;
4.ECEM.CE6.CR3 Afrontar los retos de manera eficaz, equitativa y sostenible, en distintos contextos y situaciones, reales o simuladas, transfiriendo los saberes económicos y financieros necesarios.;4.ECEM.CE6.CR3;4.ECEM.CE6.CR3 Afrontar los retos de manera eficaz, equitativa y sostenible, en distintos contextos y situaciones, reales o simuladas, transfiriendo los saberes económicos y financieros necesarios.;Nivel de logro;NI,EP,C,R,E;
4.ECEM.CE6.CR4 Valorar críticamente el problema económico de la escasez de recursos y la necesidad de elegir, así como los principios de interacción social desde el punto de vista económico, aprovechando este conocimiento en ;4.ECEM.CE6.CR4;4.ECEM.CE6.CR4 Valorar críticamente el problema económico de la escasez de recursos y la necesidad de elegir, así como los principios de interacción social desde el punto de vista económico, aprovechando este conocimiento en el afrontamiento eficaz de retos.;Nivel de logro;NI,EP,C,R,E;
