outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
4.FOP.CE1.CR1 Mejorar el desempeño personal, social y académico aplicando estrategias de aprendizaje y gestión emocional que permitan mayor control sobre las acciones y sus consecuencias.;4.FOP.CE1.CR1;4.FOP.CE1.CR1 Mejorar el desempeño personal, social y académico aplicando estrategias de aprendizaje y gestión emocional que permitan mayor control sobre las acciones y sus consecuencias.;Nivel de logro;NI,EP,C,R,E;
4.FOP.CE1.CR2 Identificar y aplicar los procesos que intervienen en el aprendizaje, analizando sus implicaciones y desarrollando estrategias que favorezcan la adquisición de conocimientos, destrezas y actitudes.;4.FOP.CE1.CR2;4.FOP.CE1.CR2 Identificar y aplicar los procesos que intervienen en el aprendizaje, analizando sus implicaciones y desarrollando estrategias que favorezcan la adquisición de conocimientos, destrezas y actitudes.;Nivel de logro;NI,EP,C,R,E;
4.FOP.CE1.CR3 Analizar la importancia del componente emocional, tomando conciencia de su repercusión en el aprendizaje y desarrollando estrategias que lo mejoren.;4.FOP.CE1.CR3;4.FOP.CE1.CR3 Analizar la importancia del componente emocional, tomando conciencia de su repercusión en el aprendizaje y desarrollando estrategias que lo mejoren.;Nivel de logro;NI,EP,C,R,E;
4.FOP.CE1.CR4 Analizar la relación de la cognición, la motivación, el aprendizaje y la gestión emocional con la conducta, tanto propia como de los demás, a partir de las bases teóricas fundamentales de los procesos físicos y;4.FOP.CE1.CR4;4.FOP.CE1.CR4 Analizar la relación de la cognición, la motivación, el aprendizaje y la gestión emocional con la conducta, tanto propia como de los demás, a partir de las bases teóricas fundamentales de los procesos físicos y psicológicos que intervienen en ellos.;Nivel de logro;NI,EP,C,R,E;
4.FOP.CE2.CR1 Afrontar nuevos retos, de forma eficaz y con progresiva autonomía, identificando las cualidades personales y sociales propias y de los demás y analizando los elementos que condicionan los comportamientos y actu;4.FOP.CE2.CR1;4.FOP.CE2.CR1 Afrontar nuevos retos, de forma eficaz y con progresiva autonomía, identificando las cualidades personales y sociales propias y de los demás y analizando los elementos que condicionan los comportamientos y actuaciones en el proceso de desarrollo evolutivo.;Nivel de logro;NI,EP,C,R,E;
4.FOP.CE2.CR2 Conocer el desarrollo evolutivo de las personas, analizando y comprendiendo las principales características de la madurez que van conformando a la persona en distintos planos: físico, cognitivo, social, emocion;4.FOP.CE2.CR2;4.FOP.CE2.CR2 Conocer el desarrollo evolutivo de las personas, analizando y comprendiendo las principales características de la madurez que van conformando a la persona en distintos planos: físico, cognitivo, social, emocional y sexual.;Nivel de logro;NI,EP,C,R,E;
4.FOP.CE2.CR3 Identificar cualidades personales y de los demás, reflexionando sobre la importancia de potenciar aquellas que permitan afrontar eficazmente los retos y faciliten el proceso de transición de la adolescencia a l;4.FOP.CE2.CR3;4.FOP.CE2.CR3 Identificar cualidades personales y de los demás, reflexionando sobre la importancia de potenciar aquellas que permitan afrontar eficazmente los retos y faciliten el proceso de transición de la adolescencia a la edad adulta.;Nivel de logro;NI,EP,C,R,E;
4.FOP.CE3.CR1 Reflexionar de manera crítica sobre la condición humana, la sociedad y la cultura a partir del conocimiento que proporcionan las ciencias humanas y sociales.;4.FOP.CE3.CR1;4.FOP.CE3.CR1 Reflexionar de manera crítica sobre la condición humana, la sociedad y la cultura a partir del conocimiento que proporcionan las ciencias humanas y sociales.;Nivel de logro;NI,EP,C,R,E;
4.FOP.CE3.CR2 Analizar la diversidad personal, social y cultural desde distintas perspectivas a partir de los conocimientos que proporcionan las ciencias humanas y sociales, mostrando actitudes de respeto y empatía por lo di;4.FOP.CE3.CR2;4.FOP.CE3.CR2 Analizar la diversidad personal, social y cultural desde distintas perspectivas a partir de los conocimientos que proporcionan las ciencias humanas y sociales, mostrando actitudes de respeto y empatía por lo diferente y valorando la equidad y la no discriminación.;Nivel de logro;NI,EP,C,R,E;
4.FOP.CE4.CR1 Desarrollar estrategias y habilidades que faciliten la adaptación a nuevos grupos y contextos a partir del conocimiento social y antropológico del ser humano.;4.FOP.CE4.CR1;4.FOP.CE4.CR1 Desarrollar estrategias y habilidades que faciliten la adaptación a nuevos grupos y contextos a partir del conocimiento social y antropológico del ser humano.;Nivel de logro;NI,EP,C,R,E;
