outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
4.IT2.CE1.CR1 Extraer, comprender, analizar y relacionar el sentido global y las ideas principales, y seleccionar información pertinente de textos orales, escritos y multimodales sobre temas cotidianos, de relevancia persona;4.IT2.CE1.CR1;4.IT2.CE1.CR1 Extraer, comprender, analizar y relacionar el sentido global y las ideas principales, y seleccionar información pertinente de textos orales, escritos y multimodales sobre temas cotidianos, de relevancia personal o de interés público próximos a su experiencia expresados de forma clara y en la lengua estándar a través de diversos soportes.;Nivel de logro;NI,EP,C,R,E;
4.IT2.CE1.CR2 Interpretar y valorar el contenido y los rasgos discursivos de textos progresivamente más complejos propios de los ámbitos de las relaciones interpersonales, de los medios de comunicación social y del aprendiza;4.IT2.CE1.CR2;4.IT2.CE1.CR2 Interpretar y valorar el contenido y los rasgos discursivos de textos progresivamente más complejos propios de los ámbitos de las relaciones interpersonales, de los medios de comunicación social y del aprendizaje, así como de textos literarios adecuados al nivel de madurez del alumnado.;Nivel de logro;NI,EP,C,R,E;
4.IT2.CE1.CR3 Seleccionar, organizar y aplicar las estrategias y conocimientos más adecuados en cada situación comunicativa para comprender el sentido general, la información esencial y los detalles más relevantes de los tex;4.IT2.CE1.CR3;"4.IT2.CE1.CR3 Seleccionar, organizar y aplicar las estrategias y conocimientos más adecuados en cada situación comunicativa para comprender el sentido general, la información esencial y los detalles más relevantes de los textos; deducir e inferir significados e interpretar elementos no verbales; y buscar, seleccionar y gestionar información veraz.";Nivel de logro;NI,EP,C,R,E;
4.IT2.CE2.CR1 Expresar oralmente textos sencillos, estructurados, comprensibles, coherentes y adecuados a la situación comunicativa sobre asuntos cotidianos, de relevancia personal o de interés público próximo a su experienc;4.IT2.CE2.CR1;4.IT2.CE2.CR1 Expresar oralmente textos sencillos, estructurados, comprensibles, coherentes y adecuados a la situación comunicativa sobre asuntos cotidianos, de relevancia personal o de interés público próximo a su experiencia, con el fin de describir, narrar, argumentar, comparar e informar, en diferentes soportes, utilizando recursos verbales y no verbales, así como estrategias de planificación, control, compensación y cooperación.;Nivel de logro;NI,EP,C,R,E;
4.IT2.CE2.CR2 Redactar y difundir textos de extensión media con aceptable claridad, coherencia, cohesión, corrección y adecuación a la situación comunicativa propuesta, a la tipología textual y a las herramientas analógicas ;4.IT2.CE2.CR2;4.IT2.CE2.CR2 Redactar y difundir textos de extensión media con aceptable claridad, coherencia, cohesión, corrección y adecuación a la situación comunicativa propuesta, a la tipología textual y a las herramientas analógicas y digitales utilizadas sobre asuntos cotidianos, de relevancia personal o de interés público próximos a su experiencia, respetando la propiedad intelectual y evitando el plagio.;Nivel de logro;NI,EP,C,R,E;
4.IT2.CE2.CR3 Seleccionar, organizar y aplicar conocimientos y estrategias para planificar, producir, revisar y cooperar en la elaboración de textos coherentes, cohesionados y adecuados a las intenciones comunicativas, las c;4.IT2.CE2.CR3;4.IT2.CE2.CR3 Seleccionar, organizar y aplicar conocimientos y estrategias para planificar, producir, revisar y cooperar en la elaboración de textos coherentes, cohesionados y adecuados a las intenciones comunicativas, las características contextuales, los aspectos socioculturales y la tipología textual, usando los recursos físicos o digitales más adecuados en función de la tarea y de las necesidades de la audiencia o del lector potencial a quien se dirige el texto.;Nivel de logro;NI,EP,C,R,E;
4.IT2.CE3.CR2 Seleccionar, organizar y utilizar estrategias adecuadas para iniciar, mantener y terminar la comunicación, tomar y ceder la palabra, solicitar y formular aclaraciones y explicaciones, reformular, comparar y con;4.IT2.CE3.CR2;4.IT2.CE3.CR2 Seleccionar, organizar y utilizar estrategias adecuadas para iniciar, mantener y terminar la comunicación, tomar y ceder la palabra, solicitar y formular aclaraciones y explicaciones, reformular, comparar y contrastar, resumir, colaborar, debatir, resolver problemas y gestionar situaciones comprometidas;Nivel de logro;NI,EP,C,R,E;
4.IT2.CE3.CR1 Planificar, participar y colaborar activamente, a través de diversos soportes, en situaciones interactivas sobre temas cotidianos, de relevancia personal o de interés público cercanos a su experiencia, mostrand;4.IT2.CE3.CR1;4.IT2.CE3.CR1 Planificar, participar y colaborar activamente, a través de diversos soportes, en situaciones interactivas sobre temas cotidianos, de relevancia personal o de interés público cercanos a su experiencia, mostrando iniciativa, empatía y respeto por la cortesía lingüística y la etiqueta digital, así como por las diferentes necesidades, ideas, inquietudes, iniciativas y motivaciones de las y los interlocutores.;Nivel de logro;NI,EP,C,R,E;
4.IT2.CE4.CR1 Inferir y explicar textos, conceptos y comunicaciones breves y sencillas en situaciones en las que se atienda a la diversidad, mostrando respeto y empatía por las y los interlocutores y por las lenguas empleada;4.IT2.CE4.CR1;4.IT2.CE4.CR1 Inferir y explicar textos, conceptos y comunicaciones breves y sencillas en situaciones en las que se atienda a la diversidad, mostrando respeto y empatía por las y los interlocutores y por las lenguas empleadas, y participando en la solución de problemas de intercomprensión y de entendimiento en su entorno, apoyándose en diversos recursos y soportes.;Nivel de logro;NI,EP,C,R,E;
4.IT2.CE4.CR2 Aplicar estrategias que ayuden a crear puentes, faciliten la comunicación y sirvan para explicar y simplificar textos, conceptos y mensajes, y que sean adecuadas a las intenciones comunicativas, las característ;4.IT2.CE4.CR2;4.IT2.CE4.CR2 Aplicar estrategias que ayuden a crear puentes, faciliten la comunicación y sirvan para explicar y simplificar textos, conceptos y mensajes, y que sean adecuadas a las intenciones comunicativas, las características contextuales y la tipología textual, usando recursos y apoyos físicos o digitales en función de las necesidades de cada momento;Nivel de logro;NI,EP,C,R,E;
4.IT2.CE5.CR1 Comparar y argumentar las similitudes y diferencias entre distintas lenguas analizando y reflexionando de manera progresivamente autónoma sobre su funcionamiento.;4.IT2.CE5.CR1;4.IT2.CE5.CR1 Comparar y argumentar las similitudes y diferencias entre distintas lenguas analizando y reflexionando de manera progresivamente autónoma sobre su funcionamiento.;Nivel de logro;NI,EP,C,R,E;
4.IT2.CE5.CR2 Utilizar de forma creativa estrategias y conocimientos de mejora de su capacidad de comunicar y de aprender la lengua extranjera con apoyo de otros participantes y de soportes analógicos y digitales.;4.IT2.CE5.CR2;4.IT2.CE5.CR2 Utilizar de forma creativa estrategias y conocimientos de mejora de su capacidad de comunicar y de aprender la lengua extranjera con apoyo de otros participantes y de soportes analógicos y digitales.;Nivel de logro;NI,EP,C,R,E;
4.IT2.CE5.CR3 Registrar y analizar los progresos y dificultades de aprendizaje de la lengua extranjera, seleccionando las estrategias más eficaces para superar esas dificultades y consolidar su aprendizaje, realizando activi;4.IT2.CE5.CR3;4.IT2.CE5.CR3 Registrar y analizar los progresos y dificultades de aprendizaje de la lengua extranjera, seleccionando las estrategias más eficaces para superar esas dificultades y consolidar su aprendizaje, realizando actividades de planificación del propio aprendizaje, autoevaluación y coevaluación, como las propuestas en el Portfolio Europeo de las Lenguas (PEL) o en un diario de aprendizaje, haciendo esos progresos y dificultades explícitos y compartiéndolos;Nivel de logro;NI,EP,C,R,E;
4.IT2.CE6.CR1 Actuar de forma adecuada, empática y respetuosa en situaciones interculturales construyendo vínculos entre las diferentes lenguas y culturas, rechazando cualquier tipo de discriminación, prejuicio y estereotipo;4.IT2.CE6.CR1;4.IT2.CE6.CR1 Actuar de forma adecuada, empática y respetuosa en situaciones interculturales construyendo vínculos entre las diferentes lenguas y culturas, rechazando cualquier tipo de discriminación, prejuicio y estereotipo en contextos comunicativos cotidianos y proponiendo vías de solución a aquellos factores socioculturales que dificulten la comunicación.;Nivel de logro;NI,EP,C,R,E;
4.IT2.CE6.CR2 Valorar críticamente en relación con los derechos humanos y adecuarse a la diversidad lingüística, cultural y artística propia de países donde se habla  la lengua extranjera, favoreciendo el desarrollo de una c;4.IT2.CE6.CR2;4.IT2.CE6.CR2 Valorar críticamente en relación con los derechos humanos y adecuarse a la diversidad lingüística, cultural y artística propia de países donde se habla  la lengua extranjera, favoreciendo el desarrollo de una cultura compartida y una ciudadanía comprometida con la sostenibilidad, igualdad y los valores democráticos.;Nivel de logro;NI,EP,C,R,E;
4.IT2.CE6.CR3 Aplicar estrategias para defender y apreciar la diversidad lingüística, cultural y artística atendiendo a valores ecosociales y democráticos y respetando los principios de justicia, equidad e igualdad y sosteni;4.IT2.CE6.CR3;4.IT2.CE6.CR3 Aplicar estrategias para defender y apreciar la diversidad lingüística, cultural y artística atendiendo a valores ecosociales y democráticos y respetando los principios de justicia, equidad e igualdad y sostenibilidad.;Nivel de logro;NI,EP,C,R,E;
