outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
4.LAT.CE1.CR1 Describir el significado de productos culturales del presente, en el contexto de los desarrollos culturales en Europa, comparando las semejanzas y diferencias con la Antigüedad latina.;4.LAT.CE1.CR1;4.LAT.CE1.CR1 Describir el significado de productos culturales del presente, en el contexto de los desarrollos culturales en Europa, comparando las semejanzas y diferencias con la Antigüedad latina.;Nivel de logro;NI,EP,C,R,E;
4.LAT.CE1.CR2 Valorar de manera crítica los modos de vida, costumbres y actitudes de la sociedad romana en comparación con los de nuestras sociedades a partir del contenido de fuentes latinas en diferentes soportes.;4.LAT.CE1.CR2;4.LAT.CE1.CR2 Valorar de manera crítica los modos de vida, costumbres y actitudes de la sociedad romana en comparación con los de nuestras sociedades a partir del contenido de fuentes latinas en diferentes soportes.;Nivel de logro;NI,EP,C,R,E;
4.LAT.CE1.CR3 Identificar los periodos de la historia de Roma, los acontecimientos y personajes, así como los aspectos de la civilización romana en su contexto histórico, relacionando los datos con referentes actuales y apli;4.LAT.CE1.CR3;4.LAT.CE1.CR3 Identificar los periodos de la historia de Roma, los acontecimientos y personajes, así como los aspectos de la civilización romana en su contexto histórico, relacionando los datos con referentes actuales y aplicando los conocimientos adquiridos.;Nivel de logro;NI,EP,C,R,E;
4.LAT.CE2.CR1 Valorar críticamente y adecuarse a la diversidad lingüística y cultural a la que da origen el latín, identificando y explicando semejanzas y diferencias entre los elementos lingüísticos del entorno, relacionánd;4.LAT.CE2.CR1;4.LAT.CE2.CR1 Valorar críticamente y adecuarse a la diversidad lingüística y cultural a la que da origen el latín, identificando y explicando semejanzas y diferencias entre los elementos lingüísticos del entorno, relacionándolos con los de su propia cultura y desarrollando una cultura compartida y una ciudadanía comprometida con los valores democráticos.;Nivel de logro;NI,EP,C,R,E;
4.LAT.CE2.CR2 Inferir significados de términos latinos aplicando los conocimientos léxicos y fonéticos de otras lenguas de su repertorio individual propio.;4.LAT.CE2.CR2;4.LAT.CE2.CR2 Inferir significados de términos latinos aplicando los conocimientos léxicos y fonéticos de otras lenguas de su repertorio individual propio.;Nivel de logro;NI,EP,C,R,E;
4.LAT.CE2.CR3 Ampliar el caudal léxico y mejorar la expresión oral y escrita, incorporando latinismos y locuciones usuales de origen latino de manera coherente.;4.LAT.CE2.CR3;4.LAT.CE2.CR3 Ampliar el caudal léxico y mejorar la expresión oral y escrita, incorporando latinismos y locuciones usuales de origen latino de manera coherente.;Nivel de logro;NI,EP,C,R,E;
4.LAT.CE2.CR4 Producir definiciones etimológicas de términos cotidianos, científicos y técnicos, reconociendo los elementos latinos en diferentes contextos lingüísticos y estableciendo, si procede, la relación semántica entr;4.LAT.CE2.CR4;4.LAT.CE2.CR4 Producir definiciones etimológicas de términos cotidianos, científicos y técnicos, reconociendo los elementos latinos en diferentes contextos lingüísticos y estableciendo, si procede, la relación semántica entre un término patrimonial y un cultismo.;Nivel de logro;NI,EP,C,R,E;
4.LAT.CE3.CR1 Explicar de forma oral, escrita o multimodal el carácter clásico y humanista de las diversas manifestaciones literarias y artísticas de la civilización latina utilizando un vocabulario correcto y una expresión ;4.LAT.CE3.CR1;4.LAT.CE3.CR1 Explicar de forma oral, escrita o multimodal el carácter clásico y humanista de las diversas manifestaciones literarias y artísticas de la civilización latina utilizando un vocabulario correcto y una expresión adecuada.;Nivel de logro;NI,EP,C,R,E;
4.LAT.CE3.CR2 Reconocer el sentido global y las ideas principales y secundarias de un texto, contextualizándolo e identificando las referencias históricas, sociales, políticas o religiosas que aparecen en él, y sirviéndose d;4.LAT.CE3.CR2;4.LAT.CE3.CR2 Reconocer el sentido global y las ideas principales y secundarias de un texto, contextualizándolo e identificando las referencias históricas, sociales, políticas o religiosas que aparecen en él, y sirviéndose de conocimientos sobre personajes y acontecimientos históricos ya estudiados.;Nivel de logro;NI,EP,C,R,E;
4.LAT.CE3.CR3 Interpretar de manera crítica el contenido de textos latinos de dificultad adecuada, atendiendo al contexto en el que se produjeron, conectándolos con la experiencia propia y valorando cómo contribuyen a entend;4.LAT.CE3.CR3;4.LAT.CE3.CR3 Interpretar de manera crítica el contenido de textos latinos de dificultad adecuada, atendiendo al contexto en el que se produjeron, conectándolos con la experiencia propia y valorando cómo contribuyen a entender los modos de vida, costumbres y actitudes de nuestra sociedad.;Nivel de logro;NI,EP,C,R,E;
4.LAT.CE4.CR1 Analizar los aspectos morfológicos, sintácticos y léxicos elementales de la lengua latina, identificándolos y comparándolos con los de la lengua familiar.;4.LAT.CE4.CR1;4.LAT.CE4.CR1 Analizar los aspectos morfológicos, sintácticos y léxicos elementales de la lengua latina, identificándolos y comparándolos con los de la lengua familiar.;Nivel de logro;NI,EP,C,R,E;
4.LAT.CE4.CR2 Traducir textos breves y sencillos con términos adecuados y expresión correcta en la lengua de enseñanza, justificando la traducción y manifestando la correspondencia entre el análisis y la versión realizada.;4.LAT.CE4.CR2;4.LAT.CE4.CR2 Traducir textos breves y sencillos con términos adecuados y expresión correcta en la lengua de enseñanza, justificando la traducción y manifestando la correspondencia entre el análisis y la versión realizada.;Nivel de logro;NI,EP,C,R,E;
4.LAT.CE4.CR3 Producir mediante retroversión oraciones simples utilizando las estructuras propias de la lengua latina.;4.LAT.CE4.CR3;4.LAT.CE4.CR3 Producir mediante retroversión oraciones simples utilizando las estructuras propias de la lengua latina.;Nivel de logro;NI,EP,C,R,E;
4.LAT.CE5.CR1 Explicar los elementos de la civilización latina, especialmente los relacionados con la mitología clásica, identificándolos como fuente de inspiración de manifestaciones literarias y artísticas.;4.LAT.CE5.CR1;4.LAT.CE5.CR1 Explicar los elementos de la civilización latina, especialmente los relacionados con la mitología clásica, identificándolos como fuente de inspiración de manifestaciones literarias y artísticas.;Nivel de logro;NI,EP,C,R,E;
4.LAT.CE5.CR2 Reconocer las huellas de la romanización en el patrimonio cultural y arqueológico del entorno, identificando los procesos de preservación, conservación y restauración como un aspecto fundamental de una ciudadan;4.LAT.CE5.CR2;4.LAT.CE5.CR2 Reconocer las huellas de la romanización en el patrimonio cultural y arqueológico del entorno, identificando los procesos de preservación, conservación y restauración como un aspecto fundamental de una ciudadanía comprometida con la sostenibilidad ambiental y el cuidado de su legado.;Nivel de logro;NI,EP,C,R,E;
4.LAT.CE5.CR3 Exponer de forma oral, escrita o multimodal las conclusiones obtenidas a partir de la investigación, individual o colectiva, del legado material e inmaterial de la civilización romana y su pervivencia en el pre;4.LAT.CE5.CR3;4.LAT.CE5.CR3 Exponer de forma oral, escrita o multimodal las conclusiones obtenidas a partir de la investigación, individual o colectiva, del legado material e inmaterial de la civilización romana y su pervivencia en el presente a través de soportes analógicos y digitales, seleccionando información, contrastándola y organizándola a partir de criterios de validez, calidad y fiabilidad.;Nivel de logro;NI,EP,C,R,E;
