outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
4.MTA.CE1.CR1 Reformular problemas matemáticos de forma verbal y gráfica, interpretando los datos, las relaciones entre ellos y las preguntas planteadas.;4.MTA.CE1.CR1;4.MTA.CE1.CR1 Reformular problemas matemáticos de forma verbal y gráfica, interpretando los datos, las relaciones entre ellos y las preguntas planteadas.;Nivel de logro;NI,EP,C,R,E;
4.MTA.CE1.CR2 Seleccionar herramientas y estrategias elaboradas valorando su eficacia e idoneidad en la resolución de problemas.;4.MTA.CE1.CR2;4.MTA.CE1.CR2 Seleccionar herramientas y estrategias elaboradas valorando su eficacia e idoneidad en la resolución de problemas.;Nivel de logro;NI,EP,C,R,E;
4.MTA.CE1.CR3 Obtener todas las posibles soluciones matemáticas de un problema activando los conocimientos y utilizando las herramientas tecnológicas necesarias.;4.MTA.CE1.CR3;4.MTA.CE1.CR3 Obtener todas las posibles soluciones matemáticas de un problema activando los conocimientos y utilizando las herramientas tecnológicas necesarias.;Nivel de logro;NI,EP,C,R,E;
4.MTA.CE2.CR1 Comprobar la corrección matemática de las soluciones de un problema.;4.MTA.CE2.CR1;4.MTA.CE2.CR1 Comprobar la corrección matemática de las soluciones de un problema.;Nivel de logro;NI,EP,C,R,E;
4.MTA.CE2.CR2 Seleccionar las soluciones óptimas de un problema valorando tanto la corrección matemática como sus implicaciones desde diferentes perspectivas (de género, de sostenibilidad y de consumo responsable, entre otra;4.MTA.CE2.CR2;4.MTA.CE2.CR2 Seleccionar las soluciones óptimas de un problema valorando tanto la corrección matemática como sus implicaciones desde diferentes perspectivas (de género, de sostenibilidad y de consumo responsable, entre otras).;Nivel de logro;NI,EP,C,R,E;
4.MTA.CE3.CR1 Formular, comprobar e investigar conjeturas de forma guiada estudiando patrones, propiedades y relaciones.;4.MTA.CE3.CR1;4.MTA.CE3.CR1 Formular, comprobar e investigar conjeturas de forma guiada estudiando patrones, propiedades y relaciones.;Nivel de logro;NI,EP,C,R,E;
4.MTA.CE3.CR2 Crear variantes de un problema dado, modificando alguno de sus datos y observando la relación entre los diferentes resultados obtenidos.;4.MTA.CE3.CR2;4.MTA.CE3.CR2 Crear variantes de un problema dado, modificando alguno de sus datos y observando la relación entre los diferentes resultados obtenidos.;Nivel de logro;NI,EP,C,R,E;
4.MTA.CE3.CR3 Emplear herramientas tecnológicas adecuadas en la investigación y comprobación de conjeturas o problemas.;4.MTA.CE3.CR3;4.MTA.CE3.CR3 Emplear herramientas tecnológicas adecuadas en la investigación y comprobación de conjeturas o problemas.;Nivel de logro;NI,EP,C,R,E;
4.MTA.CE4.CR1 Reconocer e investigar patrones, organizar datos y descomponer un problema en partes más simples facilitando su interpretación y su tratamiento computacional.;4.MTA.CE4.CR1;4.MTA.CE4.CR1 Reconocer e investigar patrones, organizar datos y descomponer un problema en partes más simples facilitando su interpretación y su tratamiento computacional.;Nivel de logro;NI,EP,C,R,E;
4.MTA.CE4.CR2 Modelizar situaciones y resolver problemas de forma eficaz interpretando, modificando y creando algoritmos sencillos.;4.MTA.CE4.CR2;4.MTA.CE4.CR2 Modelizar situaciones y resolver problemas de forma eficaz interpretando, modificando y creando algoritmos sencillos.;Nivel de logro;NI,EP,C,R,E;
