outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
4.MTB.CE1.CR1 Reformular de forma verbal y gráfica problemas matemáticos, interpretando los datos, las relaciones entre ellos y las preguntas planteadas;4.MTB.CE1.CR1;4.MTB.CE1.CR1 Reformular de forma verbal y gráfica problemas matemáticos, interpretando los datos, las relaciones entre ellos y las preguntas planteadas;Nivel de logro;NI,EP,C,R,E;
4.MTB.CE1.CR2 Analizar y seleccionar diferentes herramientas y estrategias elaboradas en la resolución de un mismo problema, valorando su eficiencia.;4.MTB.CE1.CR2;4.MTB.CE1.CR2 Analizar y seleccionar diferentes herramientas y estrategias elaboradas en la resolución de un mismo problema, valorando su eficiencia.;Nivel de logro;NI,EP,C,R,E;
4.MTB.CE1.CR3 Obtener todas las posibles soluciones matemáticas de un problema movilizando los conocimientos y utilizando las herramientas tecnológicas necesarias.;4.MTB.CE1.CR3;4.MTB.CE1.CR3 Obtener todas las posibles soluciones matemáticas de un problema movilizando los conocimientos y utilizando las herramientas tecnológicas necesarias.;Nivel de logro;NI,EP,C,R,E;
4.MTB.CE2.CR1 Comprobar la corrección matemática de las soluciones de un problema;4.MTB.CE2.CR1;4.MTB.CE2.CR1 Comprobar la corrección matemática de las soluciones de un problema;Nivel de logro;NI,EP,C,R,E;
4.MTB.CE2.CR2 Justificar las soluciones óptimas de un problema desde diferentes perspectivas (matemática, de género, de sostenibilidad y de consumo responsable, entre otras).;4.MTB.CE2.CR2;4.MTB.CE2.CR2 Justificar las soluciones óptimas de un problema desde diferentes perspectivas (matemática, de género, de sostenibilidad y de consumo responsable, entre otras).;Nivel de logro;NI,EP,C,R,E;
4.MTB.CE3.CR1 Formular, comprobar e investigar conjeturas de forma guiada.;4.MTB.CE3.CR1;4.MTB.CE3.CR1 Formular, comprobar e investigar conjeturas de forma guiada.;Nivel de logro;NI,EP,C,R,E;
4.MTB.CE3.CR2 Plantear variantes de un problema que lleven a una generalización.;4.MTB.CE3.CR2;4.MTB.CE3.CR2 Plantear variantes de un problema que lleven a una generalización.;Nivel de logro;NI,EP,C,R,E;
4.MTB.CE3.CR3 Emplear herramientas tecnológicas adecuadas en la investigación y comprobación de conjeturas o problemas.;4.MTB.CE3.CR3;4.MTB.CE3.CR3 Emplear herramientas tecnológicas adecuadas en la investigación y comprobación de conjeturas o problemas.;Nivel de logro;NI,EP,C,R,E;
4.MTB.CE4.CR1 Generalizar patrones y proporcionar una representación computacional de situaciones problematizadas;4.MTB.CE4.CR1;4.MTB.CE4.CR1 Generalizar patrones y proporcionar una representación computacional de situaciones problematizadas;Nivel de logro;NI,EP,C,R,E;
4.MTB.CE4.CR2 Modelizar situaciones y resolver problemas de forma eficaz interpretando, modificando, generalizando y creando algoritmos.;4.MTB.CE4.CR2;4.MTB.CE4.CR2 Modelizar situaciones y resolver problemas de forma eficaz interpretando, modificando, generalizando y creando algoritmos.;Nivel de logro;NI,EP,C,R,E;
