outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
4.MUS.CE1.CR1 Analizar obras musicales y dancísticas de diferentes épocas y culturas, identificando sus rasgos estilísticos, explicando su relación con el contexto y evidenciando una actitud de apertura, interés y respeto en;4.MUS.CE1.CR1;4.MUS.CE1.CR1 Analizar obras musicales y dancísticas de diferentes épocas y culturas, identificando sus rasgos estilísticos, explicando su relación con el contexto y evidenciando una actitud de apertura, interés y respeto en la escucha o el visionado de las mismas.;Nivel de logro;NI,EP,C,R,E;
4.MUS.CE1.CR2 Valorar críticamente los hábitos, los gustos y los referentes musicales y dancísticos de diferentes épocas y culturas, reflexionando sobre su evolución y sobre su relación con los del presente.;4.MUS.CE1.CR2;4.MUS.CE1.CR2 Valorar críticamente los hábitos, los gustos y los referentes musicales y dancísticos de diferentes épocas y culturas, reflexionando sobre su evolución y sobre su relación con los del presente.;Nivel de logro;NI,EP,C,R,E;
4.MUS.CE1.CR3 Seleccionar producciones musicales de calidad, a través del uso de herramientas digitales, utilizando un espíritu crítico y respetando los derechos de propiedad intelectual.;4.MUS.CE1.CR3;4.MUS.CE1.CR3 Seleccionar producciones musicales de calidad, a través del uso de herramientas digitales, utilizando un espíritu crítico y respetando los derechos de propiedad intelectual.;Nivel de logro;NI,EP,C,R,E;
4.MUS.CE2.CR1 Participar, con iniciativa, confianza y creatividad, en la exploración de técnicas musicales y dancísticas de mayor complejidad, por medio de interpretaciones e improvisaciones libres y pautadas, individuales o;4.MUS.CE2.CR1;4.MUS.CE2.CR1 Participar, con iniciativa, confianza y creatividad, en la exploración de técnicas musicales y dancísticas de mayor complejidad, por medio de interpretaciones e improvisaciones libres y pautadas, individuales o grupales, en las que se empleen la voz, el cuerpo, instrumentos musicales o herramientas tecnológicas.;Nivel de logro;NI,EP,C,R,E;
4.MUS.CE2.CR2 Elaborar piezas musicales o dancísticas estructuradas, a partir de actividades de improvisación, seleccionando las técnicas del repertorio personal de recursos más adecuadas a la intención expresiva.;4.MUS.CE2.CR2;4.MUS.CE2.CR2 Elaborar piezas musicales o dancísticas estructuradas, a partir de actividades de improvisación, seleccionando las técnicas del repertorio personal de recursos más adecuadas a la intención expresiva.;Nivel de logro;NI,EP,C,R,E;
4.MUS.CE3.CR1 Leer partituras sencillas, identificando los elementos básicos del lenguaje musical y analizando de forma guiada las estructuras de las piezas, con o sin apoyo de la audición.;4.MUS.CE3.CR1;4.MUS.CE3.CR1 Leer partituras sencillas, identificando los elementos básicos del lenguaje musical y analizando de forma guiada las estructuras de las piezas, con o sin apoyo de la audición.;Nivel de logro;NI,EP,C,R,E;
4.MUS.CE3.CR2 Emplear diferentes técnicas de interpretación vocal, corporal o instrumental, aplicando estrategias de memorización y valorando los ensayos como espacios de escucha y aprendizaje.;4.MUS.CE3.CR2;4.MUS.CE3.CR2 Emplear diferentes técnicas de interpretación vocal, corporal o instrumental, aplicando estrategias de memorización y valorando los ensayos como espacios de escucha y aprendizaje.;Nivel de logro;NI,EP,C,R,E;
4.MUS.CE3.CR3 Interpretar con corrección y expresividad piezas musicales y dancísticas, individuales y grupales, dentro y fuera del aula, gestionando la ansiedad y el miedo escénico, y manteniendo la concentración.;4.MUS.CE3.CR3;4.MUS.CE3.CR3 Interpretar con corrección y expresividad piezas musicales y dancísticas, individuales y grupales, dentro y fuera del aula, gestionando la ansiedad y el miedo escénico, y manteniendo la concentración.;Nivel de logro;NI,EP,C,R,E;
4.MUS.CE4.CR1 Planificar y desarrollar, con creatividad, propuestas artístico-musicales, tanto individuales como colaborativas, seleccionando, de entre los disponibles, los medios musicales y dancísticos más oportunos, así c;4.MUS.CE4.CR1;4.MUS.CE4.CR1 Planificar y desarrollar, con creatividad, propuestas artístico-musicales, tanto individuales como colaborativas, seleccionando, de entre los disponibles, los medios musicales y dancísticos más oportunos, así como las herramientas analógicas o digitales más adecuadas.;Nivel de logro;NI,EP,C,R,E;
4.MUS.CE4.CR2 Participar activamente en la planificación y en la ejecución de propuestas artísticomusicales colaborativas, asumiendo diferentes funciones, valorando las aportaciones del resto de integrantes del grupo e ident;4.MUS.CE4.CR2;4.MUS.CE4.CR2 Participar activamente en la planificación y en la ejecución de propuestas artísticomusicales colaborativas, asumiendo diferentes funciones, valorando las aportaciones del resto de integrantes del grupo e identificando diversas oportunidades de desarrollo personal, social, académico y profesional.;Nivel de logro;NI,EP,C,R,E;
