outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
4.PRO.CE1.CR1 Trabajar activamente, de forma colaborativa, con motivación e interés, en la ideación, planificación y realización de proyectos, mostrando actitudes de respeto y tolerancia hacia los demás y sus opiniones e ide;4.PRO.CE1.CR1;4.PRO.CE1.CR1 Trabajar activamente, de forma colaborativa, con motivación e interés, en la ideación, planificación y realización de proyectos, mostrando actitudes de respeto y tolerancia hacia los demás y sus opiniones e ideas.;Nivel de logro;NI,EP,C,R,E;
4.PRO.CE1.CR2 Diseñar y planificar soluciones para problemas surgidos a partir de las necesidades y posibilidades del centro y del entorno, ideando sistemas de control automáticos funcionales, sostenibles e innovadores, apli;4.PRO.CE1.CR2;4.PRO.CE1.CR2 Diseñar y planificar soluciones para problemas surgidos a partir de las necesidades y posibilidades del centro y del entorno, ideando sistemas de control automáticos funcionales, sostenibles e innovadores, aplicando los conocimientos de programación y robótica adquiridos.;Nivel de logro;NI,EP,C,R,E;
4.PRO.CE2.CR1 Obtener soluciones técnicas y constructivas en el desarrollo de sistemas automáticos y robots, aplicando los fundamentos de estructuras, mecanismos, electricidad y electrónica, así como otros conocimientos inte;4.PRO.CE2.CR1;4.PRO.CE2.CR1 Obtener soluciones técnicas y constructivas en el desarrollo de sistemas automáticos y robots, aplicando los fundamentos de estructuras, mecanismos, electricidad y electrónica, así como otros conocimientos interdisciplinares.;Nivel de logro;NI,EP,C,R,E;
4.PRO.CE2.CR2 Diseñar y construir piezas u objetos que formen parte de la solución a un problema, aplicando herramientas de diseño asistido por ordenador, fabricándolos con ayuda de una impresora 3D e incorporándolos al sist;4.PRO.CE2.CR2;4.PRO.CE2.CR2 Diseñar y construir piezas u objetos que formen parte de la solución a un problema, aplicando herramientas de diseño asistido por ordenador, fabricándolos con ayuda de una impresora 3D e incorporándolos al sistema final.;Nivel de logro;NI,EP,C,R,E;
4.PRO.CE2.CR3 Construir, controlar y simular sistemas automáticos y robots que sean capaces de realizar tareas de forma autónoma, buscando la solución más adecuada, haciendo una selección de los materiales y componentes nece;4.PRO.CE2.CR3;4.PRO.CE2.CR3 Construir, controlar y simular sistemas automáticos y robots que sean capaces de realizar tareas de forma autónoma, buscando la solución más adecuada, haciendo una selección de los materiales y componentes necesarios, además de respetando las normas de seguridad y salud en su construcción.;Nivel de logro;NI,EP,C,R,E;
4.PRO.CE2.CR4 Aplicar el pensamiento computacional en la robótica, como herramienta de solución y mejora a problemas planteados, valorando su repercusión en el entorno.;4.PRO.CE2.CR4;4.PRO.CE2.CR4 Aplicar el pensamiento computacional en la robótica, como herramienta de solución y mejora a problemas planteados, valorando su repercusión en el entorno.;Nivel de logro;NI,EP,C,R,E;
4.PRO.CE3.CR1 Conocer y usar, de forma correcta, el entorno o entornos de programación en el control de los sistemas automáticos programados, conociendo sus normas de funcionamiento y su aplicación en prototipos diseñados o ;4.PRO.CE3.CR1;4.PRO.CE3.CR1 Conocer y usar, de forma correcta, el entorno o entornos de programación en el control de los sistemas automáticos programados, conociendo sus normas de funcionamiento y su aplicación en prototipos diseñados o sistemas físicos construidos.;Nivel de logro;NI,EP,C,R,E;
4.PRO.CE3.CR2 Resolver problemas mediante sistemas de control programado de forma adecuada y eficiente, entendiendo y aplicando los principios del pensamiento computacional y usando los elementos básicos de programación apre;4.PRO.CE3.CR2;4.PRO.CE3.CR2 Resolver problemas mediante sistemas de control programado de forma adecuada y eficiente, entendiendo y aplicando los principios del pensamiento computacional y usando los elementos básicos de programación aprendidos.;Nivel de logro;NI,EP,C,R,E;
4.PRO.CE4.CR1 Utilizar adecuadamente herramientas digitales de simulación de circuitos y sistemas, investigando en fuentes de información adecuadas, aprendiendo su funcionamiento y valorando la necesidad de su uso.;4.PRO.CE4.CR1;4.PRO.CE4.CR1 Utilizar adecuadamente herramientas digitales de simulación de circuitos y sistemas, investigando en fuentes de información adecuadas, aprendiendo su funcionamiento y valorando la necesidad de su uso.;Nivel de logro;NI,EP,C,R,E;
4.PRO.CE4.CR2 Diseñar y comprender las simulaciones realizadas con herramientas digitales, afianzando los conocimientos adquiridos y posibilitando el desarrollo de otros nuevos, buscando soluciones prácticas y eficientes.;4.PRO.CE4.CR2;4.PRO.CE4.CR2 Diseñar y comprender las simulaciones realizadas con herramientas digitales, afianzando los conocimientos adquiridos y posibilitando el desarrollo de otros nuevos, buscando soluciones prácticas y eficientes.;Nivel de logro;NI,EP,C,R,E;
4.PRO.CE5.CR1 Buscar y localizar documentación sobre las nuevas tecnologías emergentes utilizando diversas fuentes, seleccionándola adecuadamente y obteniendo información fiable y contrastada.;4.PRO.CE5.CR1;4.PRO.CE5.CR1 Buscar y localizar documentación sobre las nuevas tecnologías emergentes utilizando diversas fuentes, seleccionándola adecuadamente y obteniendo información fiable y contrastada.;Nivel de logro;NI,EP,C,R,E;
4.PRO.CE5.CR2 Investigar e identificar, con sentido crítico y ético, las alternativas que ofrece el uso de las tecnologías emergentes en el desarrollo de soluciones de automatización de procesos, analizando las repercusiones;4.PRO.CE5.CR2;4.PRO.CE5.CR2 Investigar e identificar, con sentido crítico y ético, las alternativas que ofrece el uso de las tecnologías emergentes en el desarrollo de soluciones de automatización de procesos, analizando las repercusiones en el entorno que nos rodea.;Nivel de logro;NI,EP,C,R,E;
