outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
4.TEC.CE1.CR3 Abordar la gestión del proyecto de forma creativa a la vez que funcional, aplicando estrategias y técnicas colaborativas adecuadas, así como métodos de investigación para la búsqueda en la ideación de solucione;4.TEC.CE1.CR3;4.TEC.CE1.CR3 Abordar la gestión del proyecto de forma creativa a la vez que funcional, aplicando estrategias y técnicas colaborativas adecuadas, así como métodos de investigación para la búsqueda en la ideación de soluciones lo más eficientes, accesibles e innovadoras posibles.;Nivel de logro;NI,EP,C,R,E;
4.TEC.CE1.CR1 Idear y planificar soluciones tecnológicas emprendedoras que generen un valor para la comunidad a partir de la observación y el análisis del entorno más cercano, estudiando sus necesidades, requisitos y posibil;4.TEC.CE1.CR1;4.TEC.CE1.CR1 Idear y planificar soluciones tecnológicas emprendedoras que generen un valor para la comunidad a partir de la observación y el análisis del entorno más cercano, estudiando sus necesidades, requisitos y posibilidades de mejora.;Nivel de logro;NI,EP,C,R,E;
4.TEC.CE1.CR2 Aplicar con iniciativa estrategias colaborativas de gestión de proyectos con una perspectiva interdisciplinar y siguiendo un proceso iterativo de validación, desde la fase de ideación hasta la difusión de la so;4.TEC.CE1.CR2;4.TEC.CE1.CR2 Aplicar con iniciativa estrategias colaborativas de gestión de proyectos con una perspectiva interdisciplinar y siguiendo un proceso iterativo de validación, desde la fase de ideación hasta la difusión de la solución.;Nivel de logro;NI,EP,C,R,E;
4.TEC.CE2.CR1 Analizar el diseño de un producto que dé respuesta a una necesidad planteada, evaluando su demanda, evolución y previsión de fin de ciclo de vida con un criterio ético, responsable e inclusivo.;4.TEC.CE2.CR1;4.TEC.CE2.CR1 Analizar el diseño de un producto que dé respuesta a una necesidad planteada, evaluando su demanda, evolución y previsión de fin de ciclo de vida con un criterio ético, responsable e inclusivo.;Nivel de logro;NI,EP,C,R,E;
4.TEC.CE2.CR2 Fabricar productos y obtener soluciones tecnológicas, aplicando herramientas de diseño asistido, técnicas de elaboración manual, mecánica y digital y utilizando los materiales y recursos mecánicos, eléctricos, ;4.TEC.CE2.CR2;4.TEC.CE2.CR2 Fabricar productos y obtener soluciones tecnológicas, aplicando herramientas de diseño asistido, técnicas de elaboración manual, mecánica y digital y utilizando los materiales y recursos mecánicos, eléctricos, electrónicos y digitales adecuados.;Nivel de logro;NI,EP,C,R,E;
4.TEC.CE3.CR1 Intercambiar información y fomentar el trabajo en equipo de manera asertiva, empleando las herramientas digitales adecuadas junto con el vocabulario técnico, símbolos y esquemas de sistemas tecnológicos apropia;4.TEC.CE3.CR1;4.TEC.CE3.CR1 Intercambiar información y fomentar el trabajo en equipo de manera asertiva, empleando las herramientas digitales adecuadas junto con el vocabulario técnico, símbolos y esquemas de sistemas tecnológicos apropiados.;Nivel de logro;NI,EP,C,R,E;
4.TEC.CE3.CR2 Presentar y difundir las propuestas o soluciones tecnológicas de manera efectiva, empleando la entonación, expresión, gestión del tiempo y adaptación adecuada del discurso, así como un lenguaje inclusivo y no s;4.TEC.CE3.CR2;4.TEC.CE3.CR2 Presentar y difundir las propuestas o soluciones tecnológicas de manera efectiva, empleando la entonación, expresión, gestión del tiempo y adaptación adecuada del discurso, así como un lenguaje inclusivo y no sexista.;Nivel de logro;NI,EP,C,R,E;
4.TEC.CE4.CR1 Diseñar, construir, controlar o simular sistemas automáticos programables y robots que sean capaces de realizar tareas de forma autónoma, aplicando conocimientos de mecánica, electrónica, neumática y componente;4.TEC.CE4.CR1;4.TEC.CE4.CR1 Diseñar, construir, controlar o simular sistemas automáticos programables y robots que sean capaces de realizar tareas de forma autónoma, aplicando conocimientos de mecánica, electrónica, neumática y componentes de los sistemas de control, así como otros conocimientos interdisciplinares.;Nivel de logro;NI,EP,C,R,E;
4.TEC.CE4.CR2 Integrar en las máquinas y sistemas tecnológicos aplicaciones informáticas y tecnologías digitales emergentes de control y simulación como el internet de las cosas, el big data y la inteligencia artificial con ;4.TEC.CE4.CR2;4.TEC.CE4.CR2 Integrar en las máquinas y sistemas tecnológicos aplicaciones informáticas y tecnologías digitales emergentes de control y simulación como el internet de las cosas, el big data y la inteligencia artificial con sentido crítico y ético.;Nivel de logro;NI,EP,C,R,E;
4.TEC.CE5.CR1 Resolver tareas propuestas de manera eficiente, mediante el uso y configuración de diferentes aplicaciones y herramientas digitales, aplicando conocimientos interdisciplinares con autonomía.;4.TEC.CE5.CR1;4.TEC.CE5.CR1 Resolver tareas propuestas de manera eficiente, mediante el uso y configuración de diferentes aplicaciones y herramientas digitales, aplicando conocimientos interdisciplinares con autonomía.;Nivel de logro;NI,EP,C,R,E;
