NIVEL;ASIGNATURA;ABREVIATURA
0;Biología y Geología;BYG
0;Educación Física;EFI
0;Educación Plástica, Visual y Audiovisual;EPVA
0;Física y Química;FYQ
0;Geografía e Historia;GEH
0;Lengua Castellana y Literatura;LCL
0;Inglés;ING
0;Francés;FRAN
0;Matemáticas;MAT
0;Música;MUS
0;Tecnología y Digitalización;TECD
0;Educación en Valores Cívicos y Éticos;EVCE
0;Taller de Emprendimiento y Finanzas Personales;TEF
0;Emprendimiento, Sostenibilidad y Consumo Responsable;ESCR
0;Proyectos de Artes Plásticas y Visuales;PAP
0;Música Activa, Movimiento y Folclore;MAM
4;Educación Física;EFI
4;Geografía e Historia;GEH
4;Lengua Castellana y Literatura;LCL
4;Francés;FRAN
4;Inglés;ING
4;Matemáticas A;MTA
4;Matemáticas B;MTB
4;Biología y Geología;BYG
4;Digitalización;DIGIT
4;Economía y Emprendimiento;ECEM
4;Física y Química;FYQ
4;Expresión Artística;EXA
4;Formación y Orientación Personal y Profesional;FOP
4;Latín;LAT
4;Música;MUS
4;Tecnología  ;TEC 
4;Filosofía;FIL
4;Cultura Clásica;CLAOP
4;Cultura Científica;CCI
4;Proyectos de Robótica;PRO
4;Artes Escénicas, Danza y Folclore;AED
